Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK OVAL JEWELLED MIRROR,1,5.95,5.95,2010,December,Wednesday,11 AM,Weekday
PINK OVAL JEWELLED MIRROR,1,5.95,5.95,2010,December,Sunday,4 PM,Weekend
PINK OVAL JEWELLED MIRROR,1,5.95,5.95,2010,December,Tuesday,10 AM,Weekday
PINK OVAL JEWELLED MIRROR,2,5.95,11.9,2011,January,Tuesday,1 PM,Weekday
PINK OVAL JEWELLED MIRROR,2,5.95,11.9,2011,February,Wednesday,2 PM,Weekday
PINK OVAL JEWELLED MIRROR,1,5.95,5.95,2011,February,Friday,2 PM,Weekday
PINK OVAL JEWELLED MIRROR,2,5.95,11.9,2011,February,Tuesday,2 PM,Weekday
PINK OVAL JEWELLED MIRROR,2,5.95,11.9,2011,March,Monday,11 AM,Weekday
PINK OVAL JEWELLED MIRROR,2,5.95,11.9,2011,April,Thursday,4 PM,Weekday
PINK OVAL JEWELLED MIRROR,2,5.95,11.9,2011,June,Thursday,5 PM,Weekday
PINK OVAL JEWELLED MIRROR,4,5.95,23.8,2011,June,Sunday,1 PM,Weekend
