Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2010,December,Wednesday,12 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2010,December,Sunday,3 PM,Weekend
PINK PAISLEY SQUARE TISSUE BOX,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,2.51,2.51,2010,December,Monday,4 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,2.51,2.51,2010,December,Friday,9 AM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2010,December,Monday,3 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,2,1.25,2.5,2010,December,Thursday,12 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2010,December,Thursday,7 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,12,1.25,15.0,2010,December,Thursday,2 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2011,February,Tuesday,1 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2011,February,Sunday,11 AM,Weekend
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2011,March,Tuesday,12 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2011,April,Monday,12 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,4,1.25,5.0,2011,April,Wednesday,5 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2011,May,Thursday,7 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,1.25,1.25,2011,May,Tuesday,3 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,2,1.25,2.5,2011,June,Monday,12 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,3,1.25,3.75,2011,June,Thursday,1 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,0.39,0.39,2011,July,Sunday,3 PM,Weekend
PINK PAISLEY SQUARE TISSUE BOX,4,0.39,1.56,2011,July,Sunday,3 PM,Weekend
PINK PAISLEY SQUARE TISSUE BOX,3,0.39,1.17,2011,July,Monday,11 AM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,3,0.39,1.17,2011,July,Tuesday,1 PM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,0.39,0.39,2011,July,Wednesday,11 AM,Weekday
PINK PAISLEY SQUARE TISSUE BOX,1,0.39,0.39,2011,July,Friday,12 PM,Weekday
