Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PINK VINTAGE SPOT BEAKER,4,0.85,3.4,2011,June,Sunday,1 PM,Weekend
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Monday,2 PM,Weekday
PINK VINTAGE SPOT BEAKER,2,0.85,1.7,2011,June,Monday,4 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Tuesday,10 AM,Weekday
PINK VINTAGE SPOT BEAKER,96,0.72,69.12,2011,June,Tuesday,12 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Wednesday,10 AM,Weekday
PINK VINTAGE SPOT BEAKER,96,0.72,69.12,2011,June,Wednesday,11 AM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Wednesday,12 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Wednesday,1 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Thursday,12 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Thursday,2 PM,Weekday
PINK VINTAGE SPOT BEAKER,612,0.72,440.64,2011,June,Thursday,6 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Friday,10 AM,Weekday
PINK VINTAGE SPOT BEAKER,1,0.85,0.85,2011,June,Monday,9 AM,Weekday
PINK VINTAGE SPOT BEAKER,2,1.63,3.26,2011,June,Monday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,1,1.63,1.63,2011,June,Monday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Tuesday,2 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Wednesday,2 PM,Weekday
PINK VINTAGE SPOT BEAKER,48,0.85,40.8,2011,June,Thursday,11 AM,Weekday
PINK VINTAGE SPOT BEAKER,4,0.85,3.4,2011,June,Thursday,11 AM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Thursday,1 PM,Weekday
PINK VINTAGE SPOT BEAKER,1,1.63,1.63,2011,June,Thursday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,1,1.63,1.63,2011,June,Thursday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,4,0.85,3.4,2011,June,Thursday,7 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Friday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,1,1.63,1.63,2011,June,Friday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,4,0.85,3.4,2011,June,Tuesday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,16,0.85,13.6,2011,June,Tuesday,4 PM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Wednesday,10 AM,Weekday
PINK VINTAGE SPOT BEAKER,8,0.85,6.8,2011,June,Wednesday,10 AM,Weekday
PINK VINTAGE SPOT BEAKER,1,1.63,1.63,2011,June,Wednesday,3 PM,Weekday
PINK VINTAGE SPOT BEAKER,16,0.85,13.6,2011,June,Thursday,10 AM,Weekday
PINK VINTAGE SPOT BEAKER,1,0.85,0.85,2011,June,Thursday,10 AM,Weekday
