Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,36,1.25,45.0,2011,September,Thursday,9 AM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,6,1.25,7.5,2011,September,Thursday,11 AM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,12 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,12 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,24,1.25,30.0,2011,September,Thursday,12 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,1 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,1 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,2 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,4 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Thursday,6 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Friday,11 AM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Friday,12 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Friday,12 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,24,1.25,30.0,2011,September,Friday,2 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,10,1.25,12.5,2011,September,Friday,4 PM,Weekday
PLAYING CARDS KEEP CALM & CARRY ON,4,1.25,5.0,2011,September,Sunday,11 AM,Weekend
PLAYING CARDS KEEP CALM & CARRY ON,4,1.25,5.0,2011,September,Sunday,12 PM,Weekend
PLAYING CARDS KEEP CALM & CARRY ON,6,1.25,7.5,2011,September,Sunday,1 PM,Weekend
PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,September,Sunday,1 PM,Weekend
