Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.07,7.0,2010,December,Tuesday,1 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,2,0.85,1.7,2010,December,Monday,9 AM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,January,Wednesday,4 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,8,0.1,0.8,2011,January,Monday,5 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,February,Sunday,2 PM,Weekend
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,February,Thursday,11 AM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,60,0.1,6.0,2011,March,Wednesday,11 AM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,200,0.07,14.0,2011,April,Wednesday,2 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,May,Monday,4 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,May,Wednesday,4 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,June,Monday,3 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,June,Wednesday,2 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,June,Wednesday,3 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,June,Thursday,3 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.1,0.1,2011,June,Monday,12 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.1,0.1,2011,July,Friday,3 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,July,Monday,3 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,August,Friday,4 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,30,0.1,3.0,2011,August,Monday,1 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,5,0.83,4.15,2011,August,Tuesday,12 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.07,7.0,2011,September,Thursday,2 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,September,Friday,1 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,2,0.83,1.66,2011,February,Monday,4 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,February,Friday,1 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,3,0.83,2.49,2011,February,Monday,5 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,February,Wednesday,9 AM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,January,Wednesday,3 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,January,Thursday,6 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,January,Friday,1 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,100,0.1,10.0,2011,January,Sunday,12 PM,Weekend
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,January,Tuesday,5 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.1,0.1,2011,January,Thursday,12 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,2,0.83,1.66,2011,December,Monday,5 PM,Weekday
PORCELAIN BUDAH INCENSE HOLDER,1,0.83,0.83,2011,December,Friday,10 AM,Weekday
