Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
POSTAGE,3,18.0,54.0,2010,December,Wednesday,8 AM,Weekday
POSTAGE,1,15.0,15.0,2010,December,Wednesday,11 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Wednesday,1 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Thursday,6 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Friday,9 AM,Weekday
POSTAGE,2,40.0,80.0,2010,December,Friday,10 AM,Weekday
POSTAGE,3,18.0,54.0,2010,December,Friday,10 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Friday,12 PM,Weekday
POSTAGE,2,18.0,36.0,2010,December,Friday,1 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Friday,2 PM,Weekday
POSTAGE,1,28.0,28.0,2010,December,Friday,3 PM,Weekday
POSTAGE,2,28.0,56.0,2010,December,Friday,3 PM,Weekday
POSTAGE,2,18.0,36.0,2010,December,Friday,4 PM,Weekday
POSTAGE,9,18.0,162.0,2010,December,Sunday,11 AM,Weekend
POSTAGE,3,18.0,54.0,2010,December,Sunday,2 PM,Weekend
POSTAGE,1,18.0,18.0,2010,December,Sunday,2 PM,Weekend
POSTAGE,6,18.0,108.0,2010,December,Sunday,2 PM,Weekend
POSTAGE,4,18.0,72.0,2010,December,Sunday,3 PM,Weekend
POSTAGE,1,28.0,28.0,2010,December,Monday,10 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Monday,10 AM,Weekday
POSTAGE,4,18.0,72.0,2010,December,Tuesday,10 AM,Weekday
POSTAGE,3,18.0,54.0,2010,December,Tuesday,10 AM,Weekday
POSTAGE,5,18.0,90.0,2010,December,Tuesday,12 PM,Weekday
POSTAGE,7,18.0,126.0,2010,December,Wednesday,9 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Wednesday,10 AM,Weekday
POSTAGE,6,28.0,168.0,2010,December,Wednesday,1 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Thursday,10 AM,Weekday
POSTAGE,2,18.0,36.0,2010,December,Thursday,10 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Thursday,10 AM,Weekday
POSTAGE,1,28.0,28.0,2010,December,Thursday,10 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Thursday,11 AM,Weekday
POSTAGE,2,18.0,36.0,2010,December,Thursday,11 AM,Weekday
POSTAGE,8,18.0,144.0,2010,December,Thursday,12 PM,Weekday
POSTAGE,5,18.0,90.0,2010,December,Thursday,12 PM,Weekday
POSTAGE,5,18.0,90.0,2010,December,Thursday,2 PM,Weekday
POSTAGE,21,18.0,378.0,2010,December,Friday,9 AM,Weekday
POSTAGE,8,18.0,144.0,2010,December,Friday,10 AM,Weekday
POSTAGE,2,28.0,56.0,2010,December,Friday,1 PM,Weekday
POSTAGE,5,28.0,140.0,2010,December,Monday,9 AM,Weekday
POSTAGE,1,15.0,15.0,2010,December,Tuesday,9 AM,Weekday
POSTAGE,6,40.0,240.0,2010,December,Thursday,7 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Friday,9 AM,Weekday
POSTAGE,3,40.0,120.0,2010,December,Friday,9 AM,Weekday
POSTAGE,3,28.0,84.0,2010,December,Friday,11 AM,Weekday
POSTAGE,2,15.0,30.0,2010,December,Friday,11 AM,Weekday
POSTAGE,11,18.0,198.0,2010,December,Friday,11 AM,Weekday
POSTAGE,2,18.0,36.0,2010,December,Friday,12 PM,Weekday
POSTAGE,6,18.0,108.0,2010,December,Friday,12 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Friday,12 PM,Weekday
POSTAGE,3,18.0,54.0,2010,December,Friday,12 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Friday,2 PM,Weekday
POSTAGE,9,18.0,162.0,2010,December,Friday,3 PM,Weekday
POSTAGE,3,18.0,54.0,2010,December,Friday,4 PM,Weekday
POSTAGE,4,18.0,72.0,2010,December,Sunday,12 PM,Weekend
POSTAGE,1,15.0,15.0,2010,December,Monday,10 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Monday,11 AM,Weekday
POSTAGE,5,18.0,90.0,2010,December,Monday,2 PM,Weekday
POSTAGE,6,18.0,108.0,2010,December,Monday,3 PM,Weekday
POSTAGE,3,15.0,45.0,2010,December,Tuesday,10 AM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Tuesday,2 PM,Weekday
POSTAGE,3,35.0,105.0,2010,December,Tuesday,3 PM,Weekday
POSTAGE,3,15.0,45.0,2010,December,Wednesday,2 PM,Weekday
POSTAGE,1,18.0,18.0,2010,December,Thursday,11 AM,Weekday
