Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Sunday,12 PM,Weekend
POSTE FRANCE CUSHION COVER,6,3.75,22.5,2011,September,Sunday,12 PM,Weekend
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Sunday,2 PM,Weekend
POSTE FRANCE CUSHION COVER,3,3.75,11.25,2011,September,Sunday,2 PM,Weekend
POSTE FRANCE CUSHION COVER,3,3.75,11.25,2011,September,Tuesday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Tuesday,2 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Wednesday,11 AM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Wednesday,2 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Thursday,2 PM,Weekday
POSTE FRANCE CUSHION COVER,1,10.79,10.79,2011,September,Thursday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,September,Thursday,6 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Friday,9 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Friday,9 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Friday,10 AM,Weekday
POSTE FRANCE CUSHION COVER,3,3.75,11.25,2011,September,Friday,10 AM,Weekday
POSTE FRANCE CUSHION COVER,6,3.75,22.5,2011,September,Friday,2 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Sunday,10 AM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Sunday,11 AM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Monday,10 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Tuesday,9 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Thursday,9 AM,Weekday
POSTE FRANCE CUSHION COVER,1,10.79,10.79,2011,September,Thursday,4 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Sunday,11 AM,Weekend
POSTE FRANCE CUSHION COVER,3,3.75,11.25,2011,September,Sunday,1 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Monday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Monday,2 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Tuesday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Wednesday,10 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Wednesday,11 AM,Weekday
POSTE FRANCE CUSHION COVER,3,10.79,32.37,2011,September,Wednesday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,1,10.79,10.79,2011,September,Wednesday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,1,10.79,10.79,2011,September,Wednesday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,2,10.79,21.58,2011,September,Wednesday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Sunday,1 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Sunday,2 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Sunday,3 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Monday,11 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Monday,11 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Wednesday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,September,Wednesday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Thursday,9 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Thursday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,September,Thursday,1 PM,Weekday
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,September,Friday,2 PM,Weekday
POSTE FRANCE CUSHION COVER,5,3.75,18.75,2011,February,Sunday,10 AM,Weekend
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,February,Sunday,3 PM,Weekend
POSTE FRANCE CUSHION COVER,3,3.75,11.25,2011,February,Sunday,3 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Tuesday,11 AM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Thursday,1 PM,Weekday
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,February,Friday,10 AM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,February,Sunday,2 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Monday,1 PM,Weekday
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,February,Monday,1 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,February,Monday,1 PM,Weekday
POSTE FRANCE CUSHION COVER,6,3.75,22.5,2011,February,Monday,1 PM,Weekday
POSTE FRANCE CUSHION COVER,3,3.75,11.25,2011,February,Monday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,February,Wednesday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Wednesday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,1,10.79,10.79,2011,February,Wednesday,4 PM,Weekday
POSTE FRANCE CUSHION COVER,1,3.75,3.75,2011,February,Wednesday,5 PM,Weekday
POSTE FRANCE CUSHION COVER,1,10.79,10.79,2011,February,Thursday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,8,3.75,30.0,2011,February,Friday,9 AM,Weekday
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,February,Sunday,12 PM,Weekend
POSTE FRANCE CUSHION COVER,2,3.75,7.5,2011,February,Sunday,1 PM,Weekend
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Monday,12 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Monday,3 PM,Weekday
POSTE FRANCE CUSHION COVER,4,3.75,15.0,2011,February,Tuesday,10 AM,Weekday
