Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RECIPE BOX RETROSPOT,12,2.95,35.4,2010,December,Wednesday,1 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Wednesday,2 PM,Weekday
RECIPE BOX RETROSPOT,12,2.95,35.4,2010,December,Wednesday,4 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Thursday,11 AM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Thursday,1 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Thursday,5 PM,Weekday
RECIPE BOX RETROSPOT,4,2.95,11.8,2010,December,Thursday,5 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Thursday,7 PM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Sunday,10 AM,Weekend
RECIPE BOX RETROSPOT,5,2.95,14.75,2010,December,Sunday,10 AM,Weekend
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Sunday,11 AM,Weekend
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Sunday,12 PM,Weekend
RECIPE BOX RETROSPOT,3,2.95,8.85,2010,December,Sunday,12 PM,Weekend
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Sunday,1 PM,Weekend
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Sunday,1 PM,Weekend
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Sunday,3 PM,Weekend
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Sunday,3 PM,Weekend
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Monday,10 AM,Weekday
RECIPE BOX RETROSPOT,4,2.95,11.8,2010,December,Monday,1 PM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Monday,1 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Tuesday,9 AM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Tuesday,10 AM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Wednesday,9 AM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Wednesday,1 PM,Weekday
RECIPE BOX RETROSPOT,12,2.95,35.4,2010,December,Wednesday,1 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Wednesday,2 PM,Weekday
RECIPE BOX RETROSPOT,12,2.95,35.4,2010,December,Wednesday,4 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Thursday,11 AM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Thursday,1 PM,Weekday
RECIPE BOX RETROSPOT,3,2.95,8.85,2010,December,Thursday,2 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Thursday,3 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Friday,1 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Friday,1 PM,Weekday
RECIPE BOX RETROSPOT,9,2.95,26.55,2010,December,Sunday,10 AM,Weekend
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Sunday,10 AM,Weekend
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Monday,10 AM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Monday,12 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Monday,12 PM,Weekday
RECIPE BOX RETROSPOT,12,2.95,35.4,2010,December,Tuesday,11 AM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Tuesday,1 PM,Weekday
RECIPE BOX RETROSPOT,24,2.55,61.2,2010,December,Tuesday,1 PM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Tuesday,2 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Wednesday,2 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Thursday,11 AM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Thursday,7 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Friday,11 AM,Weekday
RECIPE BOX RETROSPOT,12,2.95,35.4,2010,December,Friday,4 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Friday,5 PM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Sunday,11 AM,Weekend
RECIPE BOX RETROSPOT,6,2.95,17.7,2010,December,Monday,10 AM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Monday,4 PM,Weekday
RECIPE BOX RETROSPOT,1,2.95,2.95,2010,December,Tuesday,9 AM,Weekday
RECIPE BOX RETROSPOT,2,2.95,5.9,2010,December,Wednesday,12 PM,Weekday
RECIPE BOX RETROSPOT,24,2.55,61.2,2010,December,Thursday,3 PM,Weekday
RECIPE BOX RETROSPOT,6,2.95,17.7,2011,January,Tuesday,10 AM,Weekday
RECIPE BOX RETROSPOT,5,2.95,14.75,2011,January,Tuesday,11 AM,Weekday
RECIPE BOX RETROSPOT,3,2.95,8.85,2011,January,Wednesday,12 PM,Weekday
