Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,June,Thursday,6 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,June,Tuesday,3 PM,Weekday
RED REFECTORY CLOCK,4,9.95,39.8,2011,July,Friday,12 PM,Weekday
RED REFECTORY CLOCK,1,19.96,19.96,2011,July,Monday,10 AM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,July,Tuesday,11 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,July,Thursday,2 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,July,Friday,3 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,July,Sunday,3 PM,Weekend
RED REFECTORY CLOCK,12,8.15,97.8,2011,July,Tuesday,12 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,July,Wednesday,3 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,July,Thursday,9 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,July,Friday,12 PM,Weekday
RED REFECTORY CLOCK,6,8.15,48.9,2011,July,Thursday,12 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,July,Thursday,4 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,July,Sunday,11 AM,Weekend
RED REFECTORY CLOCK,2,9.95,19.9,2011,July,Sunday,1 PM,Weekend
RED REFECTORY CLOCK,2,9.95,19.9,2011,July,Thursday,12 PM,Weekday
RED REFECTORY CLOCK,4,9.95,39.8,2011,July,Thursday,2 PM,Weekday
RED REFECTORY CLOCK,12,8.15,97.8,2011,August,Tuesday,8 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Tuesday,10 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Tuesday,2 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,August,Wednesday,1 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,August,Wednesday,5 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Thursday,5 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,August,Friday,4 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,August,Friday,4 PM,Weekday
RED REFECTORY CLOCK,1,19.96,19.96,2011,August,Monday,3 PM,Weekday
RED REFECTORY CLOCK,1,19.96,19.96,2011,August,Wednesday,4 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Thursday,11 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Thursday,10 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Sunday,12 PM,Weekend
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Monday,10 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Thursday,2 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Friday,11 AM,Weekday
RED REFECTORY CLOCK,12,8.15,97.8,2011,August,Friday,2 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Sunday,2 PM,Weekend
RED REFECTORY CLOCK,2,9.95,19.9,2011,August,Tuesday,9 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Friday,9 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Monday,11 AM,Weekday
RED REFECTORY CLOCK,12,8.15,97.8,2011,September,Tuesday,12 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Wednesday,4 PM,Weekday
RED REFECTORY CLOCK,1,19.96,19.96,2011,September,Wednesday,4 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Friday,3 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Sunday,10 AM,Weekend
RED REFECTORY CLOCK,1,19.96,19.96,2011,September,Monday,3 PM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Wednesday,3 PM,Weekday
RED REFECTORY CLOCK,4,9.95,39.8,2011,September,Friday,10 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Sunday,10 AM,Weekend
RED REFECTORY CLOCK,1,9.95,9.95,2011,September,Sunday,3 PM,Weekend
RED REFECTORY CLOCK,1,9.95,9.95,2011,September,Sunday,4 PM,Weekend
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Monday,9 AM,Weekday
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Monday,1 PM,Weekday
RED REFECTORY CLOCK,4,8.15,32.6,2011,September,Tuesday,2 PM,Weekday
RED REFECTORY CLOCK,1,19.96,19.96,2011,September,Wednesday,3 PM,Weekday
RED REFECTORY CLOCK,1,9.95,9.95,2011,September,Sunday,1 PM,Weekend
RED REFECTORY CLOCK,2,9.95,19.9,2011,September,Monday,2 PM,Weekday
