Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED RETROSPOT PUDDING BOWL,2,8.47,16.94,2010,December,Wednesday,5 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2010,December,Thursday,11 AM,Weekday
RED RETROSPOT PUDDING BOWL,2,8.47,16.94,2010,December,Monday,4 PM,Weekday
RED RETROSPOT PUDDING BOWL,32,3.75,120.0,2010,December,Tuesday,9 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2010,December,Wednesday,2 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2010,December,Friday,12 PM,Weekday
RED RETROSPOT PUDDING BOWL,3,4.25,12.75,2011,January,Tuesday,3 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,4.25,4.25,2011,January,Wednesday,3 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,January,Thursday,5 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,January,Wednesday,2 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,8.29,8.29,2011,January,Thursday,6 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,January,Friday,2 PM,Weekday
RED RETROSPOT PUDDING BOWL,2,4.25,8.5,2011,January,Monday,4 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,4.25,4.25,2011,January,Thursday,4 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,4.25,4.25,2011,February,Friday,2 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,February,Thursday,12 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,4.25,4.25,2011,February,Thursday,1 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,February,Tuesday,10 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,February,Thursday,8 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,February,Thursday,9 AM,Weekday
RED RETROSPOT PUDDING BOWL,12,4.25,51.0,2011,March,Tuesday,9 AM,Weekday
RED RETROSPOT PUDDING BOWL,8,4.25,34.0,2011,March,Tuesday,2 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,4.25,4.25,2011,March,Wednesday,5 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,March,Tuesday,12 PM,Weekday
RED RETROSPOT PUDDING BOWL,2,4.25,8.5,2011,March,Tuesday,1 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,March,Sunday,4 PM,Weekend
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,March,Monday,10 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,March,Tuesday,3 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,March,Friday,2 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,March,Monday,9 AM,Weekday
RED RETROSPOT PUDDING BOWL,6,4.25,25.5,2011,March,Thursday,5 PM,Weekday
RED RETROSPOT PUDDING BOWL,1,8.29,8.29,2011,April,Monday,3 PM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,April,Tuesday,9 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,April,Wednesday,9 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,May,Monday,10 AM,Weekday
RED RETROSPOT PUDDING BOWL,4,4.25,17.0,2011,May,Monday,8 AM,Weekday
