Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED RETROSPOT PURSE,3,2.95,8.85,2010,December,Wednesday,5 PM,Weekday
RED RETROSPOT PURSE,1,2.95,2.95,2010,December,Thursday,3 PM,Weekday
RED RETROSPOT PURSE,6,2.95,17.7,2010,December,Friday,12 PM,Weekday
RED RETROSPOT PURSE,6,2.95,17.7,2010,December,Friday,12 PM,Weekday
RED RETROSPOT PURSE,6,2.95,17.7,2010,December,Sunday,11 AM,Weekend
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Monday,9 AM,Weekday
RED RETROSPOT PURSE,2,5.91,11.82,2010,December,Monday,10 AM,Weekday
RED RETROSPOT PURSE,1,2.95,2.95,2010,December,Monday,12 PM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Monday,4 PM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Wednesday,2 PM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Thursday,4 PM,Weekday
RED RETROSPOT PURSE,2,5.91,11.82,2010,December,Friday,9 AM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
RED RETROSPOT PURSE,1,2.95,2.95,2010,December,Sunday,12 PM,Weekend
RED RETROSPOT PURSE,2,2.95,5.9,2010,December,Sunday,1 PM,Weekend
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Monday,9 AM,Weekday
RED RETROSPOT PURSE,2,5.91,11.82,2010,December,Monday,11 AM,Weekday
RED RETROSPOT PURSE,4,2.95,11.8,2010,December,Thursday,11 AM,Weekday
RED RETROSPOT PURSE,1,2.95,2.95,2010,December,Thursday,7 PM,Weekday
RED RETROSPOT PURSE,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
