Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED RETROSPOT SMALL MILK JUG,2,2.55,5.1,2010,December,Thursday,2 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2010,December,Tuesday,1 PM,Weekday
RED RETROSPOT SMALL MILK JUG,3,2.55,7.65,2010,December,Wednesday,11 AM,Weekday
RED RETROSPOT SMALL MILK JUG,6,2.55,15.3,2010,December,Wednesday,2 PM,Weekday
RED RETROSPOT SMALL MILK JUG,144,2.1,302.4,2010,December,Thursday,5 PM,Weekday
RED RETROSPOT SMALL MILK JUG,6,2.55,15.3,2010,December,Monday,9 AM,Weekday
RED RETROSPOT SMALL MILK JUG,120,2.1,252.0,2010,December,Monday,9 AM,Weekday
RED RETROSPOT SMALL MILK JUG,2,2.55,5.1,2011,January,Tuesday,11 AM,Weekday
RED RETROSPOT SMALL MILK JUG,1,5.06,5.06,2011,January,Wednesday,2 PM,Weekday
RED RETROSPOT SMALL MILK JUG,12,2.55,30.6,2011,January,Monday,12 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,5.06,5.06,2011,January,Monday,2 PM,Weekday
RED RETROSPOT SMALL MILK JUG,3,2.55,7.65,2011,January,Tuesday,2 PM,Weekday
RED RETROSPOT SMALL MILK JUG,6,2.55,15.3,2011,January,Thursday,3 PM,Weekday
RED RETROSPOT SMALL MILK JUG,2,2.55,5.1,2011,January,Thursday,3 PM,Weekday
RED RETROSPOT SMALL MILK JUG,3,2.55,7.65,2011,January,Sunday,2 PM,Weekend
RED RETROSPOT SMALL MILK JUG,2,2.55,5.1,2011,January,Sunday,3 PM,Weekend
RED RETROSPOT SMALL MILK JUG,4,2.55,10.2,2011,January,Monday,1 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,4.96,4.96,2011,January,Monday,5 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2011,January,Tuesday,3 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2011,January,Tuesday,3 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,4.96,4.96,2011,January,Tuesday,5 PM,Weekday
RED RETROSPOT SMALL MILK JUG,12,2.55,30.6,2011,January,Thursday,12 PM,Weekday
RED RETROSPOT SMALL MILK JUG,36,2.1,75.6,2011,January,Friday,1 PM,Weekday
RED RETROSPOT SMALL MILK JUG,3,2.55,7.65,2011,January,Sunday,1 PM,Weekend
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
RED RETROSPOT SMALL MILK JUG,1,4.96,4.96,2011,January,Tuesday,10 AM,Weekday
RED RETROSPOT SMALL MILK JUG,1,4.96,4.96,2011,January,Wednesday,4 PM,Weekday
RED RETROSPOT SMALL MILK JUG,2,2.55,5.1,2011,January,Thursday,4 PM,Weekday
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2011,January,Friday,12 PM,Weekday
RED RETROSPOT SMALL MILK JUG,3,2.55,7.65,2011,January,Sunday,12 PM,Weekend
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
RED RETROSPOT SMALL MILK JUG,1,2.55,2.55,2011,January,Sunday,1 PM,Weekend
