Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2010,December,Wednesday,10 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Wednesday,11 AM,Weekday
RED RETROSPOT UMBRELLA,2,12.72,25.44,2010,December,Wednesday,2 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Thursday,2 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Thursday,5 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Friday,11 AM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Friday,11 AM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2010,December,Friday,12 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2010,December,Sunday,10 AM,Weekend
RED RETROSPOT UMBRELLA,1,5.95,5.95,2010,December,Sunday,1 PM,Weekend
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Monday,10 AM,Weekday
RED RETROSPOT UMBRELLA,4,5.95,23.8,2010,December,Monday,12 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Monday,4 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2010,December,Tuesday,2 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Tuesday,3 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Tuesday,3 PM,Weekday
RED RETROSPOT UMBRELLA,3,12.72,38.16,2010,December,Wednesday,2 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2010,December,Thursday,10 AM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Thursday,2 PM,Weekday
RED RETROSPOT UMBRELLA,2,12.72,25.44,2010,December,Thursday,4 PM,Weekday
RED RETROSPOT UMBRELLA,2,12.72,25.44,2010,December,Thursday,4 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Friday,9 AM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2010,December,Friday,1 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2010,December,Sunday,10 AM,Weekend
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Monday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,12.72,38.16,2010,December,Monday,11 AM,Weekday
RED RETROSPOT UMBRELLA,4,5.95,23.8,2010,December,Tuesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,4,5.95,23.8,2010,December,Thursday,4 PM,Weekday
RED RETROSPOT UMBRELLA,12,5.95,71.4,2010,December,Friday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Friday,11 AM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2010,December,Monday,2 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2010,December,Monday,3 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Monday,3 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2010,December,Thursday,2 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,January,Wednesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,January,Thursday,9 AM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,January,Thursday,2 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,January,Thursday,4 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Friday,12 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Friday,3 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.72,12.72,2011,January,Monday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Monday,9 AM,Weekday
RED RETROSPOT UMBRELLA,12,5.95,71.4,2011,January,Monday,3 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,January,Monday,5 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Tuesday,8 AM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,January,Tuesday,12 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Wednesday,4 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Friday,2 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,January,Friday,3 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.46,12.46,2011,January,Monday,5 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,January,Tuesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Wednesday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Wednesday,11 AM,Weekday
RED RETROSPOT UMBRELLA,1,12.46,12.46,2011,January,Wednesday,3 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Monday,12 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,January,Monday,4 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.46,12.46,2011,January,Tuesday,10 AM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,January,Tuesday,11 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,January,Tuesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,January,Friday,12 PM,Weekday
RED RETROSPOT UMBRELLA,96,4.95,475.2,2011,January,Monday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Tuesday,11 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Wednesday,9 AM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,February,Wednesday,10 AM,Weekday
RED RETROSPOT UMBRELLA,48,4.95,237.6,2011,February,Thursday,9 AM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,February,Thursday,2 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,February,Friday,11 AM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,February,Monday,11 AM,Weekday
RED RETROSPOT UMBRELLA,1,12.46,12.46,2011,February,Wednesday,12 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,February,Thursday,4 PM,Weekday
RED RETROSPOT UMBRELLA,1,12.46,12.46,2011,February,Friday,10 AM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,February,Tuesday,12 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Tuesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,February,Tuesday,2 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Wednesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,February,Monday,3 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Tuesday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Tuesday,1 PM,Weekday
RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,February,Tuesday,2 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Wednesday,8 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Wednesday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Wednesday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Thursday,10 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Thursday,12 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Thursday,3 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Thursday,4 PM,Weekday
RED RETROSPOT UMBRELLA,2,5.95,11.9,2011,February,Sunday,1 PM,Weekend
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,February,Monday,12 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,February,Monday,1 PM,Weekday
RED RETROSPOT UMBRELLA,6,5.95,35.7,2011,March,Tuesday,9 AM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,March,Thursday,1 PM,Weekday
RED RETROSPOT UMBRELLA,3,5.95,17.85,2011,March,Thursday,2 PM,Weekday
