Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Wednesday,1 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Wednesday,1 PM,Weekday
RED RETROSPOT WRAP,200,0.34,68.0,2010,December,Thursday,3 PM,Weekday
RED RETROSPOT WRAP,50,0.34,17.0,2010,December,Thursday,3 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Friday,2 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Wednesday,9 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Wednesday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Wednesday,2 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Thursday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Sunday,2 PM,Weekend
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Thursday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Thursday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Thursday,2 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2010,December,Thursday,3 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,2 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Wednesday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Wednesday,4 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Thursday,4 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Friday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Friday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Sunday,3 PM,Weekend
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Monday,5 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Wednesday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Thursday,11 AM,Weekday
RED RETROSPOT WRAP,50,0.42,21.0,2011,January,Thursday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Friday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Monday,1 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Monday,1 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Wednesday,9 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Wednesday,9 AM,Weekday
RED RETROSPOT WRAP,50,0.42,21.0,2011,January,Thursday,3 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Friday,1 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Monday,1 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,1 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Tuesday,1 PM,Weekday
RED RETROSPOT WRAP,50,0.42,21.0,2011,January,Wednesday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Thursday,9 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Thursday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Thursday,3 PM,Weekday
RED RETROSPOT WRAP,50,0.42,21.0,2011,January,Friday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,January,Monday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Tuesday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Wednesday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Wednesday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Wednesday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Wednesday,5 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Friday,12 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Thursday,10 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Thursday,11 AM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Thursday,4 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Friday,11 AM,Weekday
RED RETROSPOT WRAP,50,0.42,21.0,2011,February,Wednesday,12 PM,Weekday
RED RETROSPOT WRAP,12,0.42,5.04,2011,February,Wednesday,2 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Thursday,12 PM,Weekday
RED RETROSPOT WRAP,4,0.42,1.68,2011,February,Friday,3 PM,Weekday
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Sunday,3 PM,Weekend
RED RETROSPOT WRAP,25,0.42,10.5,2011,February,Monday,11 AM,Weekday
