Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED TEA TOWEL CLASSIC DESIGN,12,1.25,15.0,2010,December,Wednesday,12 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2010,December,Wednesday,2 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,4,1.25,5.0,2010,December,Thursday,1 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,6,1.25,7.5,2010,December,Sunday,11 AM,Weekend
RED TEA TOWEL CLASSIC DESIGN,1,1.25,1.25,2010,December,Sunday,12 PM,Weekend
RED TEA TOWEL CLASSIC DESIGN,1,1.25,1.25,2010,December,Sunday,12 PM,Weekend
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2010,December,Sunday,1 PM,Weekend
RED TEA TOWEL CLASSIC DESIGN,4,1.25,5.0,2010,December,Monday,2 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,6,1.25,7.5,2010,December,Monday,4 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,1,1.25,1.25,2010,December,Wednesday,12 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,4,1.25,5.0,2010,December,Wednesday,12 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,2.51,5.02,2010,December,Wednesday,2 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2010,December,Wednesday,2 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2010,December,Thursday,1 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,24,1.25,30.0,2010,December,Sunday,11 AM,Weekend
RED TEA TOWEL CLASSIC DESIGN,24,1.25,30.0,2010,December,Monday,11 AM,Weekday
RED TEA TOWEL CLASSIC DESIGN,4,1.25,5.0,2010,December,Monday,3 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2010,December,Wednesday,4 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2010,December,Sunday,11 AM,Weekend
RED TEA TOWEL CLASSIC DESIGN,4,1.25,5.0,2011,January,Tuesday,11 AM,Weekday
RED TEA TOWEL CLASSIC DESIGN,12,1.25,15.0,2011,January,Wednesday,11 AM,Weekday
RED TEA TOWEL CLASSIC DESIGN,5,1.25,6.25,2011,January,Thursday,12 PM,Weekday
RED TEA TOWEL CLASSIC DESIGN,2,1.25,2.5,2011,January,Monday,10 AM,Weekday
RED TEA TOWEL CLASSIC DESIGN,3,1.25,3.75,2011,January,Sunday,12 PM,Weekend
RED TEA TOWEL CLASSIC DESIGN,3,1.25,3.75,2011,January,Monday,4 PM,Weekday
