Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.84,0.84,2010,December,Wednesday,2 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,2,0.84,1.68,2010,December,Monday,10 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.84,0.84,2010,December,Wednesday,2 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.84,0.84,2010,December,Thursday,2 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,2,0.84,1.68,2010,December,Friday,9 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,6,0.42,2.52,2010,December,Monday,3 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.42,0.42,2010,December,Thursday,7 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,2,0.84,1.68,2010,December,Friday,2 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.84,0.84,2010,December,Friday,5 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.84,0.84,2010,December,Tuesday,12 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,12,0.42,5.04,2011,January,Sunday,4 PM,Weekend
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,January,Tuesday,3 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,January,Monday,1 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,6,0.42,2.52,2011,February,Wednesday,2 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,2,0.83,1.66,2011,February,Monday,9 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,2,0.83,1.66,2011,February,Tuesday,5 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,6,0.42,2.52,2011,February,Thursday,4 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,24,0.42,10.08,2011,February,Friday,11 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,2,0.83,1.66,2011,February,Tuesday,4 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,24,0.42,10.08,2011,March,Wednesday,11 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,March,Tuesday,9 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,360,0.29,104.4,2011,March,Tuesday,12 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,March,Tuesday,3 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,March,Tuesday,3 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,6,0.42,2.52,2011,March,Friday,5 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,6,0.42,2.52,2011,March,Wednesday,11 AM,Weekday
RED VICTORIAN FABRIC OVAL BOX,12,0.42,5.04,2011,April,Sunday,1 PM,Weekend
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
