Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,1.45,1.45,2011,June,Thursday,11 AM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,1.45,1.45,2011,June,Thursday,11 AM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,1.45,1.45,2011,June,Thursday,7 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,2,1.45,2.9,2011,June,Thursday,7 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,3,1.45,4.35,2011,June,Sunday,12 PM,Weekend
RETRO LEAVES MAGNETIC NOTEPAD,2,1.45,2.9,2011,June,Sunday,2 PM,Weekend
RETRO LEAVES MAGNETIC NOTEPAD,2,1.45,2.9,2011,June,Sunday,2 PM,Weekend
RETRO LEAVES MAGNETIC NOTEPAD,12,1.45,17.4,2011,June,Monday,12 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,1.45,1.45,2011,June,Monday,2 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,6,1.45,8.7,2011,June,Monday,3 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,4,1.45,5.8,2011,June,Monday,3 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,12,1.45,17.4,2011,June,Wednesday,1 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,2,1.45,2.9,2011,June,Wednesday,3 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,1.45,1.45,2011,June,Wednesday,3 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,3.29,3.29,2011,June,Wednesday,3 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,2,1.45,2.9,2011,July,Friday,12 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,1,1.45,1.45,2011,July,Monday,1 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,4,1.45,5.8,2011,July,Monday,3 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,12,1.45,17.4,2011,July,Wednesday,10 AM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,12,1.45,17.4,2011,July,Friday,12 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,12,1.45,17.4,2011,July,Tuesday,12 PM,Weekday
RETRO LEAVES MAGNETIC NOTEPAD,12,1.45,17.4,2011,July,Wednesday,10 AM,Weekday
