Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RETRO PINK BALL ASHTRAY,1,1.25,1.25,2010,December,Sunday,3 PM,Weekend
RETRO PINK BALL ASHTRAY,2,1.25,2.5,2010,December,Tuesday,1 PM,Weekday
RETRO PINK BALL ASHTRAY,1,1.25,1.25,2011,January,Wednesday,5 PM,Weekday
RETRO PINK BALL ASHTRAY,3,1.25,3.75,2011,February,Monday,3 PM,Weekday
RETRO PINK BALL ASHTRAY,12,1.25,15.0,2011,February,Sunday,1 PM,Weekend
RETRO PINK BALL ASHTRAY,2,1.25,2.5,2011,February,Thursday,6 PM,Weekday
RETRO PINK BALL ASHTRAY,2,1.25,2.5,2011,March,Thursday,6 PM,Weekday
RETRO PINK BALL ASHTRAY,2,1.25,2.5,2011,April,Tuesday,11 AM,Weekday
RETRO PINK BALL ASHTRAY,12,1.25,15.0,2011,April,Wednesday,1 PM,Weekday
RETRO PINK BALL ASHTRAY,4,1.25,5.0,2011,April,Wednesday,2 PM,Weekday
RETRO PINK BALL ASHTRAY,3,1.25,3.75,2011,May,Sunday,1 PM,Weekend
RETRO PINK BALL ASHTRAY,1,1.25,1.25,2011,May,Tuesday,2 PM,Weekday
RETRO PINK BALL ASHTRAY,1,1.25,1.25,2011,June,Thursday,7 PM,Weekday
