Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RETROSPOT BABUSHKA DOORSTOP,4,3.75,15.0,2010,December,Wednesday,12 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,4,3.75,15.0,2010,December,Wednesday,1 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2010,December,Sunday,12 PM,Weekend
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2010,December,Monday,10 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2010,December,Thursday,1 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,4,3.75,15.0,2010,December,Monday,12 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,1,1.87,1.87,2010,December,Tuesday,3 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2010,December,Wednesday,1 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,1,7.62,7.62,2010,December,Thursday,1 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Tuesday,11 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,40,1.25,50.0,2011,January,Wednesday,10 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Friday,9 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Friday,12 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,4,3.75,15.0,2011,January,Monday,9 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Wednesday,12 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,24,1.25,30.0,2011,January,Thursday,10 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Monday,11 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Thursday,12 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,8,1.25,10.0,2011,January,Tuesday,2 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,1,3.75,3.75,2011,January,Wednesday,12 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,4,3.75,15.0,2011,January,Thursday,11 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,2,3.75,7.5,2011,February,Tuesday,11 AM,Weekday
RETROSPOT BABUSHKA DOORSTOP,1,3.75,3.75,2011,February,Thursday,6 PM,Weekday
RETROSPOT BABUSHKA DOORSTOP,4,3.75,15.0,2011,February,Friday,12 PM,Weekday
