Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Thursday,12 PM,Weekday
REVOLVER WOODEN RULER,2,1.95,3.9,2011,February,Thursday,2 PM,Weekday
REVOLVER WOODEN RULER,1,1.95,1.95,2011,February,Friday,11 AM,Weekday
REVOLVER WOODEN RULER,1,1.95,1.95,2011,February,Friday,3 PM,Weekday
REVOLVER WOODEN RULER,144,1.65,237.6,2011,February,Monday,10 AM,Weekday
REVOLVER WOODEN RULER,2,3.75,7.5,2011,February,Monday,6 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Wednesday,9 AM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Wednesday,10 AM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Wednesday,3 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Wednesday,4 PM,Weekday
REVOLVER WOODEN RULER,24,1.95,46.8,2011,February,Thursday,2 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Friday,12 PM,Weekday
REVOLVER WOODEN RULER,48,1.95,93.6,2011,February,Friday,1 PM,Weekday
REVOLVER WOODEN RULER,24,1.95,46.8,2011,February,Sunday,2 PM,Weekend
REVOLVER WOODEN RULER,12,1.95,23.4,2011,February,Monday,1 PM,Weekday
REVOLVER WOODEN RULER,4,1.95,7.8,2011,March,Tuesday,11 AM,Weekday
REVOLVER WOODEN RULER,10,1.95,19.5,2011,March,Thursday,12 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,March,Friday,10 AM,Weekday
REVOLVER WOODEN RULER,24,1.95,46.8,2011,March,Friday,1 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,March,Friday,2 PM,Weekday
REVOLVER WOODEN RULER,1,3.75,3.75,2011,March,Tuesday,3 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,March,Monday,3 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,March,Tuesday,9 AM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,March,Tuesday,3 PM,Weekday
REVOLVER WOODEN RULER,6,1.95,11.7,2011,March,Friday,1 PM,Weekday
REVOLVER WOODEN RULER,12,1.95,23.4,2011,March,Friday,3 PM,Weekday
