Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RIBBON REEL POLKADOTS,1,3.36,3.36,2010,December,Wednesday,2 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2010,December,Friday,1 PM,Weekday
RIBBON REEL POLKADOTS,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2010,December,Sunday,11 AM,Weekend
RIBBON REEL POLKADOTS,10,1.65,16.5,2010,December,Sunday,2 PM,Weekend
RIBBON REEL POLKADOTS,1,3.36,3.36,2010,December,Monday,9 AM,Weekday
RIBBON REEL POLKADOTS,20,1.65,33.0,2010,December,Monday,10 AM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2010,December,Monday,12 PM,Weekday
RIBBON REEL POLKADOTS,1,3.36,3.36,2010,December,Monday,4 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2010,December,Wednesday,12 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2010,December,Wednesday,12 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2010,December,Friday,1 PM,Weekday
RIBBON REEL POLKADOTS,1,4.21,4.21,2010,December,Friday,3 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2010,December,Monday,3 PM,Weekday
RIBBON REEL POLKADOTS,2,1.65,3.3,2010,December,Tuesday,10 AM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2010,December,Tuesday,10 AM,Weekday
RIBBON REEL POLKADOTS,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2010,December,Wednesday,1 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2010,December,Wednesday,3 PM,Weekday
RIBBON REEL POLKADOTS,1,3.36,3.36,2010,December,Friday,2 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2010,December,Wednesday,2 PM,Weekday
RIBBON REEL POLKADOTS,120,1.45,174.0,2011,January,Thursday,11 AM,Weekday
RIBBON REEL POLKADOTS,1,4.21,4.21,2011,January,Thursday,3 PM,Weekday
RIBBON REEL POLKADOTS,1,3.36,3.36,2011,January,Friday,11 AM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,January,Friday,3 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2011,January,Sunday,12 PM,Weekend
RIBBON REEL POLKADOTS,1,3.36,3.36,2011,January,Monday,9 AM,Weekday
RIBBON REEL POLKADOTS,1,4.13,4.13,2011,January,Tuesday,2 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2011,January,Thursday,11 AM,Weekday
RIBBON REEL POLKADOTS,5,3.29,16.45,2011,January,Thursday,2 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,January,Sunday,10 AM,Weekend
RIBBON REEL POLKADOTS,3,1.65,4.95,2011,January,Sunday,10 AM,Weekend
RIBBON REEL POLKADOTS,1,4.13,4.13,2011,January,Tuesday,1 PM,Weekday
RIBBON REEL POLKADOTS,1,4.13,4.13,2011,February,Tuesday,12 PM,Weekday
RIBBON REEL POLKADOTS,1,4.13,4.13,2011,February,Friday,11 AM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,July,Thursday,6 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Wednesday,9 AM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Wednesday,2 PM,Weekday
RIBBON REEL POLKADOTS,40,1.65,66.0,2011,August,Wednesday,3 PM,Weekday
RIBBON REEL POLKADOTS,3,1.65,4.95,2011,August,Friday,3 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,August,Friday,4 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Thursday,12 PM,Weekday
RIBBON REEL POLKADOTS,120,1.45,174.0,2011,August,Thursday,4 PM,Weekday
RIBBON REEL POLKADOTS,5,1.65,8.25,2011,August,Sunday,12 PM,Weekend
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Tuesday,11 AM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Wednesday,12 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Wednesday,1 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,August,Wednesday,3 PM,Weekday
RIBBON REEL POLKADOTS,2,1.65,3.3,2011,August,Thursday,1 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,August,Thursday,3 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Friday,10 AM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,August,Wednesday,4 PM,Weekday
RIBBON REEL POLKADOTS,20,1.65,33.0,2011,August,Thursday,12 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Friday,12 PM,Weekday
RIBBON REEL POLKADOTS,10,1.65,16.5,2011,August,Friday,2 PM,Weekday
RIBBON REEL POLKADOTS,1,3.29,3.29,2011,August,Tuesday,12 PM,Weekday
RIBBON REEL POLKADOTS,2,3.29,6.58,2011,August,Tuesday,12 PM,Weekday
RIBBON REEL POLKADOTS,1,1.65,1.65,2011,September,Friday,10 AM,Weekday
