Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2010,December,Wednesday,4 PM,Weekday
RING OF ROSES BIRTHDAY CARD,5,0.85,4.25,2010,December,Wednesday,2 PM,Weekday
RING OF ROSES BIRTHDAY CARD,72,0.36,25.92,2010,December,Sunday,11 AM,Weekend
RING OF ROSES BIRTHDAY CARD,1,0.85,0.85,2010,December,Monday,10 AM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Friday,9 AM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Sunday,11 AM,Weekend
RING OF ROSES BIRTHDAY CARD,72,0.36,25.92,2011,January,Friday,11 AM,Weekday
RING OF ROSES BIRTHDAY CARD,1,0.83,0.83,2011,January,Monday,9 AM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Monday,1 PM,Weekday
RING OF ROSES BIRTHDAY CARD,72,0.36,25.92,2011,January,Monday,1 PM,Weekday
RING OF ROSES BIRTHDAY CARD,1,0.83,0.83,2011,January,Monday,1 PM,Weekday
RING OF ROSES BIRTHDAY CARD,1,0.83,0.83,2011,January,Tuesday,9 AM,Weekday
RING OF ROSES BIRTHDAY CARD,1,0.83,0.83,2011,January,Tuesday,10 AM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,11 AM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,12 PM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Thursday,10 AM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Thursday,1 PM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,January,Monday,9 AM,Weekday
RING OF ROSES BIRTHDAY CARD,3,0.83,2.49,2011,February,Tuesday,3 PM,Weekday
RING OF ROSES BIRTHDAY CARD,12,0.42,5.04,2011,February,Thursday,3 PM,Weekday
RING OF ROSES BIRTHDAY CARD,1,0.83,0.83,2011,February,Tuesday,11 AM,Weekday
