Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ROMANTIC IMAGES NOTEBOOK SET,4,4.25,17.0,2010,December,Wednesday,2 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,8.47,8.47,2010,December,Friday,2 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,January,Wednesday,10 AM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,January,Thursday,2 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,2,4.25,8.5,2011,February,Tuesday,1 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,4,4.25,17.0,2011,February,Monday,9 AM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,February,Wednesday,2 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,4.25,4.25,2011,February,Tuesday,3 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,April,Sunday,12 PM,Weekend
ROMANTIC IMAGES NOTEBOOK SET,1,4.25,4.25,2011,April,Wednesday,5 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,May,Sunday,10 AM,Weekend
ROMANTIC IMAGES NOTEBOOK SET,1,1.25,1.25,2011,May,Monday,4 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,June,Tuesday,12 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,4,1.25,5.0,2011,June,Wednesday,5 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,2.46,2.46,2011,June,Thursday,3 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,July,Tuesday,9 AM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,2.46,2.46,2011,July,Tuesday,4 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,2.46,2.46,2011,July,Wednesday,4 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,1.25,1.25,2011,July,Sunday,11 AM,Weekend
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,August,Wednesday,1 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,1.25,1.25,2011,August,Sunday,1 PM,Weekend
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,September,Wednesday,3 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,September,Sunday,12 PM,Weekend
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,September,Thursday,5 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,1.25,1.25,2011,February,Wednesday,2 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,48,1.25,60.0,2011,February,Monday,12 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,1.25,1.25,2011,January,Thursday,1 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,January,Sunday,11 AM,Weekend
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,January,Monday,9 AM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,1,1.25,1.25,2011,January,Thursday,2 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,2,1.25,2.5,2011,January,Monday,3 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,24,1.25,30.0,2011,December,Tuesday,12 PM,Weekday
ROMANTIC IMAGES NOTEBOOK SET,2,1.25,2.5,2011,December,Thursday,12 PM,Weekday
