Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ROSE DU SUD CUSHION COVER,2,6.35,12.7,2011,January,Friday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,6.35,6.35,2011,April,Sunday,12 PM,Weekend
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,April,Tuesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,April,Wednesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,May,Monday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,5,5.79,28.95,2011,May,Thursday,6 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,May,Friday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,May,Friday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,May,Monday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,May,Monday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,May,Wednesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,May,Wednesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,May,Tuesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,June,Wednesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,6.35,6.35,2011,June,Thursday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.95,4.95,2011,June,Monday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,June,Monday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,June,Tuesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,June,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,4,5.79,23.16,2011,June,Thursday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,July,Monday,10 AM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,July,Tuesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,July,Wednesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,July,Thursday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,3,4.95,14.85,2011,July,Thursday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.95,9.9,2011,July,Sunday,12 PM,Weekend
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,July,Tuesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,July,Monday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,3,4.13,12.39,2011,July,Friday,9 AM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,July,Monday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,July,Monday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,3,4.13,12.39,2011,July,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,July,Friday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,July,Friday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,6,4.95,29.7,2011,August,Monday,10 AM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,August,Tuesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,August,Tuesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,August,Wednesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,August,Wednesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,6.35,6.35,2011,August,Wednesday,1 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,August,Tuesday,10 AM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,August,Tuesday,10 AM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,August,Tuesday,10 AM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,August,Tuesday,10 AM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,August,Tuesday,12 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,August,Tuesday,12 PM,Weekday
ROSE DU SUD CUSHION COVER,3,4.95,14.85,2011,August,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,August,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,6,6.35,38.1,2011,September,Monday,12 PM,Weekday
ROSE DU SUD CUSHION COVER,2,6.35,12.7,2011,September,Wednesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,6.35,12.7,2011,September,Friday,12 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.95,9.9,2011,September,Friday,12 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,September,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,September,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,September,Thursday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,September,Friday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,September,Wednesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,September,Wednesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,February,Monday,2 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,January,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,January,Thursday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,January,Friday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,6.35,6.35,2011,January,Monday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,January,Tuesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,January,Tuesday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,January,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,January,Wednesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,January,Monday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,3,5.79,17.37,2011,January,Monday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,January,Tuesday,3 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,January,Tuesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,5.79,5.79,2011,December,Thursday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,December,Friday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,2,4.13,8.26,2011,December,Monday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,December,Monday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,3,5.79,17.37,2011,December,Monday,5 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,December,Tuesday,4 PM,Weekday
ROSE DU SUD CUSHION COVER,1,4.13,4.13,2011,December,Thursday,9 AM,Weekday
ROSE DU SUD CUSHION COVER,2,5.79,11.58,2011,December,Thursday,9 AM,Weekday
