Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ROUND STORAGE TIN VINTAGE LEAF,1,1.95,1.95,2011,June,Wednesday,1 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,1.95,3.9,2011,June,Wednesday,4 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,1.95,3.9,2011,June,Thursday,6 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Sunday,3 PM,Weekend
ROUND STORAGE TIN VINTAGE LEAF,12,1.95,23.4,2011,June,Monday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Monday,2 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Tuesday,8 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,3,1.95,5.85,2011,June,Tuesday,11 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,48,1.65,79.2,2011,June,Wednesday,11 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,96,1.65,158.4,2011,June,Wednesday,1 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Thursday,3 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,12,1.95,23.4,2011,June,Friday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,1.95,3.9,2011,June,Friday,11 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Sunday,11 AM,Weekend
ROUND STORAGE TIN VINTAGE LEAF,12,1.95,23.4,2011,June,Wednesday,2 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Thursday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Thursday,2 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,1.95,3.9,2011,June,Thursday,7 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,1.95,3.9,2011,June,Sunday,11 AM,Weekend
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Wednesday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,June,Thursday,11 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,July,Wednesday,1 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,July,Thursday,2 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,July,Friday,11 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,48,1.65,79.2,2011,July,Monday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,4.13,8.26,2011,July,Friday,4 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,2,1.95,3.9,2011,July,Monday,11 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,1,1.95,1.95,2011,July,Tuesday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,July,Tuesday,3 PM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,July,Thursday,10 AM,Weekday
ROUND STORAGE TIN VINTAGE LEAF,6,1.95,11.7,2011,July,Thursday,3 PM,Weekday
