Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ROUND WHITE CONFETTI IN TUBE,1,1.65,1.65,2010,December,Wednesday,4 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,12,1.65,19.8,2011,January,Monday,11 AM,Weekday
ROUND WHITE CONFETTI IN TUBE,2,3.29,6.58,2011,March,Monday,3 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,12,1.65,19.8,2011,April,Monday,1 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,1,3.29,3.29,2011,May,Friday,4 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,12,1.65,19.8,2011,May,Thursday,9 AM,Weekday
ROUND WHITE CONFETTI IN TUBE,1,1.65,1.65,2011,May,Thursday,1 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,2,1.65,3.3,2011,May,Thursday,1 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,4,3.29,13.16,2011,May,Monday,3 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,24,1.65,39.6,2011,August,Thursday,8 AM,Weekday
ROUND WHITE CONFETTI IN TUBE,12,1.65,19.8,2011,August,Friday,3 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,12,1.65,19.8,2011,September,Wednesday,2 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,1,1.65,1.65,2011,February,Monday,1 PM,Weekday
ROUND WHITE CONFETTI IN TUBE,12,1.65,19.8,2011,December,Wednesday,11 AM,Weekday
