Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.24,4.24,2010,December,Friday,4 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.24,4.24,2010,December,Thursday,1 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.24,4.24,2011,January,Monday,9 AM,Weekday
RUBY DROP CHANDELIER EARRINGS,2,3.75,7.5,2011,January,Sunday,1 PM,Weekend
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,March,Thursday,4 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,2,3.75,7.5,2011,May,Sunday,2 PM,Weekend
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,July,Monday,5 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,September,Wednesday,3 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,6,3.75,22.5,2011,September,Friday,2 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,February,Monday,2 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,January,Wednesday,4 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,January,Thursday,9 AM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,January,Tuesday,4 PM,Weekday
RUBY DROP CHANDELIER EARRINGS,1,4.15,4.15,2011,December,Friday,10 AM,Weekday
