Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Wednesday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.65,1.65,2010,December,Wednesday,4 PM,Weekday
SCOTTIES CHILDRENS APRON,22,1.66,36.52,2010,December,Wednesday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.65,1.65,2010,December,Thursday,12 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Friday,11 AM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Monday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,6,1.65,9.9,2010,December,Monday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,4,1.66,6.64,2010,December,Monday,4 PM,Weekday
SCOTTIES CHILDRENS APRON,7,1.66,11.62,2010,December,Tuesday,3 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Wednesday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,4,1.66,6.64,2010,December,Thursday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.65,3.3,2010,December,Thursday,8 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Friday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,8,1.66,13.28,2010,December,Friday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,3,1.65,4.95,2010,December,Sunday,11 AM,Weekend
SCOTTIES CHILDRENS APRON,5,1.66,8.3,2010,December,Monday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,1,1.66,1.66,2010,December,Monday,11 AM,Weekday
SCOTTIES CHILDRENS APRON,6,1.65,9.9,2010,December,Wednesday,3 PM,Weekday
SCOTTIES CHILDRENS APRON,7,1.66,11.62,2010,December,Friday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,3,1.66,4.98,2010,December,Friday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,3,1.66,4.98,2010,December,Friday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,3,1.66,4.98,2010,December,Friday,4 PM,Weekday
SCOTTIES CHILDRENS APRON,4,1.66,6.64,2010,December,Friday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Monday,10 AM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2010,December,Monday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.66,1.66,2010,December,Thursday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,5,1.66,8.3,2011,January,Tuesday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,3,1.66,4.98,2011,January,Wednesday,11 AM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2011,January,Friday,11 AM,Weekday
SCOTTIES CHILDRENS APRON,4,1.66,6.64,2011,January,Friday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,4,1.66,6.64,2011,January,Monday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,8,1.65,13.2,2011,January,Monday,11 AM,Weekday
SCOTTIES CHILDRENS APRON,2,1.66,3.32,2011,January,Monday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.66,1.66,2011,January,Wednesday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,5,1.66,8.3,2011,January,Wednesday,3 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.63,3.26,2011,January,Thursday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.63,3.26,2011,January,Friday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.63,3.26,2011,January,Monday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,7,1.63,11.41,2011,January,Tuesday,3 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,January,Tuesday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,6,1.63,9.78,2011,January,Wednesday,3 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,January,Thursday,6 PM,Weekday
SCOTTIES CHILDRENS APRON,3,1.63,4.89,2011,January,Thursday,6 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.65,3.3,2011,January,Friday,12 PM,Weekday
SCOTTIES CHILDRENS APRON,4,1.63,6.52,2011,January,Friday,5 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.65,1.65,2011,January,Sunday,3 PM,Weekend
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,January,Monday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,8,1.65,13.2,2011,January,Monday,11 AM,Weekday
SCOTTIES CHILDRENS APRON,2,1.63,3.26,2011,January,Monday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,January,Tuesday,10 AM,Weekday
SCOTTIES CHILDRENS APRON,2,1.63,3.26,2011,January,Friday,2 PM,Weekday
SCOTTIES CHILDRENS APRON,20,1.63,32.6,2011,January,Monday,9 AM,Weekday
SCOTTIES CHILDRENS APRON,1,1.63,1.63,2011,February,Tuesday,3 PM,Weekday
SCOTTIES CHILDRENS APRON,2,1.63,3.26,2011,February,Wednesday,1 PM,Weekday
SCOTTIES CHILDRENS APRON,1,4.13,4.13,2011,December,Thursday,10 AM,Weekday
