Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,September,Wednesday,12 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,September,Wednesday,4 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,February,Monday,4 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,3,3.33,9.99,2011,February,Wednesday,4 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,3,3.33,9.99,2011,February,Wednesday,4 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,6,3.33,19.98,2011,February,Monday,2 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,January,Friday,5 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,January,Friday,2 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,January,Friday,4 PM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,1,3.33,3.33,2011,December,Thursday,9 AM,Weekday
SET 10 CARDS 12 DAYS WRAP  17058,7,3.33,23.31,2011,December,Thursday,9 AM,Weekday
