Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET 12 RETRO WHITE CHALK STICKS,2,0.42,0.84,2010,December,Wednesday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,3,0.42,1.26,2010,December,Wednesday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2010,December,Thursday,6 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,2,0.81,1.62,2010,December,Friday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2010,December,Friday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2010,December,Sunday,11 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,4,0.42,1.68,2010,December,Sunday,11 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2010,December,Sunday,12 PM,Weekend
SET 12 RETRO WHITE CHALK STICKS,3,0.85,2.55,2010,December,Monday,9 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,2,0.85,1.7,2010,December,Monday,10 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,20,0.42,8.4,2010,December,Monday,5 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2010,December,Tuesday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2010,December,Tuesday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2010,December,Tuesday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2010,December,Tuesday,6 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,6,0.42,2.52,2010,December,Wednesday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,15,0.42,6.3,2010,December,Wednesday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,3,0.85,2.55,2010,December,Thursday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2010,December,Monday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2010,December,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2010,December,Friday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2010,December,Friday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2010,December,Friday,5 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2010,December,Monday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,8,0.42,3.36,2010,December,Monday,4 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,6,0.42,2.52,2010,December,Monday,5 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.81,0.81,2010,December,Tuesday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.81,0.81,2010,December,Tuesday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2011,January,Wednesday,4 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,10,0.42,4.2,2011,January,Friday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,6,0.42,2.52,2011,January,Sunday,11 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,January,Sunday,2 PM,Weekend
SET 12 RETRO WHITE CHALK STICKS,10,0.42,4.2,2011,January,Tuesday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.85,0.85,2011,January,Wednesday,9 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,2,0.42,0.84,2011,January,Wednesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,2011,January,Thursday,6 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,2011,January,Monday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,January,Tuesday,10 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,January,Tuesday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,January,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,January,Tuesday,4 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,January,Thursday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,48,0.42,20.16,2011,February,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Friday,10 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Friday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Monday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Monday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2011,February,Wednesday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,8,0.42,3.36,2011,February,Friday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,8,0.42,3.36,2011,February,Wednesday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Wednesday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.79,0.79,2011,February,Thursday,10 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Thursday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,2011,February,Friday,4 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Tuesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,12,0.42,5.04,2011,February,Tuesday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.79,0.79,2011,February,Wednesday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,4,0.42,1.68,2011,February,Wednesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,12,0.42,5.04,2011,February,Wednesday,1 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,2011,February,Wednesday,3 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Friday,10 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Friday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.42,0.42,2011,February,Sunday,11 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,2,0.42,0.84,2011,February,Sunday,11 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,5,0.42,2.1,2011,February,Sunday,11 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,February,Monday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,March,Wednesday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,3,0.42,1.26,2011,March,Friday,11 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,March,Friday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,March,Sunday,10 AM,Weekend
SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,2011,March,Monday,5 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,6,0.42,2.52,2011,March,Tuesday,12 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,March,Wednesday,9 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,March,Thursday,2 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,4,0.42,1.68,2011,March,Monday,4 PM,Weekday
SET 12 RETRO WHITE CHALK STICKS,24,0.42,10.08,2011,March,Tuesday,10 AM,Weekday
SET 12 RETRO WHITE CHALK STICKS,1,0.79,0.79,2011,March,Tuesday,2 PM,Weekday
