Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,16.95,67.8,2010,December,Wednesday,9 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2010,December,Wednesday,9 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2010,December,Wednesday,1 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2010,December,Thursday,10 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,8,7.95,63.6,2010,December,Monday,3 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2010,December,Monday,3 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2010,December,Tuesday,11 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,8,7.95,63.6,2010,December,Tuesday,12 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2010,December,Wednesday,9 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2010,December,Thursday,1 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2010,December,Thursday,5 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,16.95,67.8,2010,December,Tuesday,2 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2011,January,Wednesday,1 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2011,January,Wednesday,3 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2011,January,Friday,12 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2011,January,Monday,5 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,2,19.95,39.9,2011,January,Tuesday,12 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,8,7.95,63.6,2011,January,Monday,10 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,9,7.95,71.55,2011,January,Friday,1 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,4,7.95,31.8,2011,January,Monday,11 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2011,January,Tuesday,9 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,8,7.95,63.6,2011,January,Tuesday,3 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,2,19.95,39.9,2011,January,Thursday,9 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,2,19.95,39.9,2011,February,Thursday,9 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,8,7.95,63.6,2011,February,Thursday,2 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,39.13,39.13,2011,February,Thursday,6 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2011,February,Sunday,12 PM,Weekend
SET 3 WICKER OVAL BASKETS W LIDS,4,16.95,67.8,2011,March,Tuesday,8 AM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2011,March,Friday,12 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,80,16.95,1356.0,2011,May,Monday,2 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,1,19.95,19.95,2011,June,Wednesday,1 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,74,12.48,923.52,2011,June,Tuesday,4 PM,Weekday
SET 3 WICKER OVAL BASKETS W LIDS,200,12.48,2496.0,2011,June,Tuesday,11 AM,Weekday
