Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,May,Tuesday,3 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,2.95,2.95,2011,June,Sunday,2 PM,Weekend
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,June,Thursday,3 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,2,2.95,5.9,2011,June,Sunday,12 PM,Weekend
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,June,Friday,3 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,2.95,2.95,2011,June,Tuesday,12 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,July,Tuesday,5 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,July,Friday,3 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,2.95,2.95,2011,July,Monday,3 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,18,2.95,53.1,2011,July,Thursday,1 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,July,Monday,3 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,July,Wednesday,4 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,6,2.95,17.7,2011,July,Thursday,4 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,July,Monday,5 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,24,2.55,61.2,2011,July,Wednesday,9 AM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,1,5.79,5.79,2011,August,Monday,4 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,2,2.95,5.9,2011,August,Monday,5 PM,Weekday
SET 4 VALENTINE DECOUPAGE HEART BOX,2,2.95,5.9,2011,August,Sunday,3 PM,Weekend
SET 4 VALENTINE DECOUPAGE HEART BOX,3,2.95,8.85,2011,August,Wednesday,2 PM,Weekday
