Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2010,December,Tuesday,2 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2010,December,Wednesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,25.49,25.49,2010,December,Friday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,3,8.47,25.41,2010,December,Thursday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,12.75,25.5,2011,January,Tuesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,8.47,8.47,2011,January,Thursday,2 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,4,8.47,33.88,2011,January,Friday,11 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,8.47,8.47,2011,January,Friday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,8.47,16.94,2011,January,Monday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,January,Monday,3 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,8.47,16.94,2011,January,Monday,4 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,5,8.47,42.35,2011,January,Tuesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,18,8.47,152.46,2011,January,Wednesday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,11,8.47,93.17,2011,January,Wednesday,3 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,8,8.29,66.32,2011,January,Thursday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,8.29,16.58,2011,January,Thursday,2 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,January,Friday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,7,8.29,58.03,2011,January,Friday,2 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,5,8.29,41.45,2011,January,Monday,5 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,3,8.29,24.87,2011,January,Monday,5 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,8.29,16.58,2011,January,Monday,5 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,6,8.29,49.74,2011,January,Tuesday,3 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,4,8.29,33.16,2011,January,Wednesday,3 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,4,8.29,33.16,2011,January,Thursday,6 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,8.29,8.29,2011,January,Thursday,6 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,8.29,16.58,2011,January,Friday,5 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,8.29,8.29,2011,January,Friday,5 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,24.96,24.96,2011,February,Friday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,10,12.75,127.5,2011,February,Friday,12 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,February,Sunday,10 AM,Weekend
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,February,Wednesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,8,12.75,102.0,2011,March,Tuesday,9 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,8,12.75,102.0,2011,March,Wednesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,3,12.75,38.25,2011,March,Monday,8 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,March,Monday,8 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,June,Wednesday,12 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,24.96,24.96,2011,June,Wednesday,3 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,12.75,25.5,2011,June,Tuesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,12.75,25.5,2011,June,Wednesday,1 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,2,12.75,25.5,2011,June,Thursday,8 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,June,Thursday,4 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,July,Friday,12 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,July,Sunday,1 PM,Weekend
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,August,Wednesday,3 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,August,Friday,12 PM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,August,Tuesday,8 AM,Weekday
SET OF 16 VINTAGE RED CUTLERY,1,12.75,12.75,2011,September,Sunday,3 PM,Weekend
