Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,5,2.98,14.9,2010,December,Wednesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2010,December,Thursday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Friday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2010,December,Friday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Monday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,2.98,8.94,2010,December,Monday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Friday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2010,December,Friday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,24,1.45,34.8,2010,December,Friday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,2.98,8.94,2010,December,Monday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Monday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,24,1.45,34.8,2010,December,Monday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2010,December,Monday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Friday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Friday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2010,December,Thursday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,January,Tuesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,2.98,8.94,2011,January,Wednesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Friday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,January,Friday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,January,Sunday,2 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,2,2.98,5.96,2011,January,Monday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Tuesday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,January,Tuesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2011,January,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.98,2.98,2011,January,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,5,1.45,7.25,2011,January,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Thursday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Friday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,January,Friday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,January,Monday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Tuesday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,January,Thursday,6 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,January,Friday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Monday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,January,Tuesday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,January,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,January,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,January,Friday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,January,Sunday,2 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,3,3.75,11.25,2011,January,Monday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,February,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,February,Tuesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,February,Wednesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,February,Wednesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,February,Wednesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,February,Thursday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,February,Friday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,February,Tuesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,February,Thursday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,February,Friday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,February,Monday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,February,Monday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,February,Tuesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,February,Tuesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,February,Wednesday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,24,1.45,34.8,2011,February,Wednesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,February,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,February,Friday,8 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,February,Monday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,6,2.92,17.52,2011,February,Tuesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,3.75,11.25,2011,February,Wednesday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,February,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,February,Thursday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,February,Sunday,10 AM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,2,2.92,5.84,2011,March,Tuesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Wednesday,8 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,2.92,5.84,2011,March,Friday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,March,Monday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,March,Monday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,March,Wednesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,March,Thursday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,24,1.45,34.8,2011,March,Monday,8 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Tuesday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Thursday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,March,Thursday,6 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,5,1.45,7.25,2011,March,Sunday,12 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Sunday,1 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Sunday,4 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Monday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Monday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,March,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,March,Wednesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Wednesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,March,Friday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Friday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Monday,8 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,2.92,5.84,2011,March,Monday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,March,Tuesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,March,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,March,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,2.92,5.84,2011,March,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Wednesday,9 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,March,Wednesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Wednesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,March,Thursday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,March,Thursday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,April,Sunday,10 AM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,10,1.45,14.5,2011,April,Monday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Monday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Tuesday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Friday,8 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Friday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Monday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Tuesday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Tuesday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Thursday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,April,Friday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,April,Friday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Sunday,11 AM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Monday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Monday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Monday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Monday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,April,Tuesday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Tuesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,April,Tuesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,6,1.45,8.7,2011,April,Wednesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,April,Thursday,8 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,8,1.45,11.6,2011,April,Tuesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Tuesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,2.92,5.84,2011,April,Wednesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,April,Wednesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Thursday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,April,Thursday,1 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,2.92,2.92,2011,May,Tuesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,May,Tuesday,5 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,May,Sunday,12 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,May,Sunday,3 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,May,Monday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,1.45,2.9,2011,May,Tuesday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,May,Wednesday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,May,Thursday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Tuesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Monday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,6,1.45,8.7,2011,May,Wednesday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Thursday,10 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Friday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,May,Friday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,4,1.45,5.8,2011,May,Sunday,3 PM,Weekend
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,June,Thursday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,June,Thursday,11 AM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,June,Thursday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,June,Tuesday,4 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,June,Wednesday,12 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,3,1.45,4.35,2011,June,Wednesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,12,1.45,17.4,2011,June,Wednesday,2 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,June,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,June,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,June,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,3.75,3.75,2011,June,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,2,3.75,7.5,2011,June,Wednesday,3 PM,Weekday
SET OF 36 PAISLEY FLOWER DOILIES,1,1.45,1.45,2011,June,Thursday,4 PM,Weekday
