Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,1,4.15,4.15,2011,June,Wednesday,1 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,1,3.75,3.75,2011,June,Wednesday,3 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,3,4.15,12.45,2011,June,Wednesday,4 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,12,4.15,49.8,2011,June,Thursday,10 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,2,4.15,8.3,2011,June,Thursday,6 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,2,4.15,8.3,2011,June,Friday,1 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,12,4.15,49.8,2011,June,Friday,3 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Monday,8 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Monday,10 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Monday,11 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Monday,12 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Monday,2 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Tuesday,8 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Tuesday,9 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Tuesday,11 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Tuesday,11 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,1,4.15,4.15,2011,June,Tuesday,11 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,1,4.15,4.15,2011,June,Tuesday,11 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Tuesday,12 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,2,8.29,16.58,2011,June,Tuesday,5 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Wednesday,10 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,48,3.75,180.0,2011,June,Wednesday,1 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Thursday,3 PM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Friday,10 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,2,4.15,8.3,2011,June,Friday,11 AM,Weekday
SET OF 4 KNICK KNACK TINS LEAVES,3,4.15,12.45,2011,June,Sunday,12 PM,Weekend
SET OF 4 KNICK KNACK TINS LEAVES,6,4.15,24.9,2011,June,Monday,1 PM,Weekday
