Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,1,5.06,5.06,2010,December,Wednesday,2 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,1,2.55,2.55,2010,December,Wednesday,3 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,3,2.55,7.65,2010,December,Sunday,12 PM,Weekend
SET OF 4 NAPKIN CHARMS HEARTS,1,2.55,2.55,2010,December,Sunday,1 PM,Weekend
SET OF 4 NAPKIN CHARMS HEARTS,1,2.55,2.55,2010,December,Sunday,1 PM,Weekend
SET OF 4 NAPKIN CHARMS HEARTS,1,5.06,5.06,2010,December,Monday,9 AM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,12,2.55,30.6,2010,December,Wednesday,2 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,2,2.55,5.1,2010,December,Thursday,1 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,12,2.55,30.6,2010,December,Friday,11 AM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,2,2.55,5.1,2010,December,Sunday,2 PM,Weekend
SET OF 4 NAPKIN CHARMS HEARTS,2,5.06,10.12,2010,December,Monday,11 AM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,32,2.1,67.2,2010,December,Monday,12 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,2,2.55,5.1,2010,December,Monday,1 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,1,2.55,2.55,2010,December,Monday,1 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,6,2.55,15.3,2010,December,Wednesday,9 AM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,6,2.55,15.3,2010,December,Thursday,3 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,3,5.06,15.18,2010,December,Friday,4 PM,Weekday
SET OF 4 NAPKIN CHARMS HEARTS,3,2.55,7.65,2011,January,Sunday,10 AM,Weekend
SET OF 4 NAPKIN CHARMS HEARTS,6,2.55,15.3,2011,January,Sunday,3 PM,Weekend
SET OF 4 NAPKIN CHARMS HEARTS,6,2.55,15.3,2011,January,Tuesday,11 AM,Weekday
