Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,3.75,3.75,2010,December,Wednesday,4 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,3.75,3.75,2010,December,Sunday,4 PM,Weekend
SET OF 4 ROSE BOTANICAL CANDLES,1,3.75,3.75,2010,December,Sunday,4 PM,Weekend
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2010,December,Tuesday,10 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2010,December,Thursday,1 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,24,1.25,30.0,2010,December,Thursday,1 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,7.62,7.62,2010,December,Friday,2 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,7.62,7.62,2010,December,Monday,10 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2010,December,Wednesday,10 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2010,December,Thursday,1 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Tuesday,1 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Wednesday,11 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Thursday,2 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2011,January,Thursday,3 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2011,January,Thursday,6 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Friday,11 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Friday,1 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2011,January,Friday,2 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Monday,9 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2011,January,Monday,2 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.51,2.51,2011,January,Monday,4 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,2.51,5.02,2011,January,Wednesday,9 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,2.51,5.02,2011,January,Wednesday,3 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2011,January,Friday,10 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,2.46,4.92,2011,January,Friday,2 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,3.75,7.5,2011,January,Sunday,4 PM,Weekend
SET OF 4 ROSE BOTANICAL CANDLES,2,2.46,4.92,2011,January,Tuesday,3 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.46,2.46,2011,January,Tuesday,5 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,12,1.25,15.0,2011,January,Wednesday,11 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,2.46,4.92,2011,January,Wednesday,3 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,2.46,2.46,2011,January,Thursday,6 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,2.46,4.92,2011,January,Thursday,6 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,24,1.25,30.0,2011,January,Wednesday,10 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,1,3.75,3.75,2011,February,Thursday,12 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,8,3.75,30.0,2011,March,Tuesday,3 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,3,3.75,11.25,2011,March,Tuesday,5 PM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,6,3.75,22.5,2011,March,Tuesday,11 AM,Weekday
SET OF 4 ROSE BOTANICAL CANDLES,2,3.75,7.5,2011,March,Tuesday,4 PM,Weekday
