Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.51,5.02,2010,December,Wednesday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2010,December,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,3,1.25,3.75,2010,December,Sunday,12 PM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2010,December,Sunday,3 PM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.51,5.02,2010,December,Monday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2010,December,Tuesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.51,5.02,2010,December,Tuesday,6 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2010,December,Friday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,6,1.25,7.5,2010,December,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,120,1.06,127.2,2010,December,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Friday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Monday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Monday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.51,5.02,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,8,1.28,10.24,2010,December,Thursday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2010,December,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.28,2.56,2011,January,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.28,1.28,2011,January,Wednesday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.28,1.28,2011,January,Wednesday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.28,1.28,2011,January,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,5,1.28,6.4,2011,January,Monday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.28,1.28,2011,January,Monday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.28,2.56,2011,January,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.28,2.56,2011,January,Wednesday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,5,1.28,6.4,2011,January,Wednesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.25,2.5,2011,January,Thursday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,3,1.25,3.75,2011,January,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,7,1.25,8.75,2011,January,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,4,1.25,5.0,2011,January,Monday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.25,2.5,2011,January,Monday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Tuesday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.25,2.5,2011,January,Wednesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Thursday,6 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,3,1.25,3.75,2011,January,Thursday,6 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,36,1.25,45.0,2011,January,Monday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,January,Monday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Tuesday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,January,Wednesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,6,1.25,7.5,2011,February,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,February,Wednesday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Friday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Monday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,6,1.25,7.5,2011,February,Friday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Friday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Friday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,6,1.25,7.5,2011,February,Sunday,10 AM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,120,1.06,127.2,2011,February,Monday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Thursday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,March,Monday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,March,Tuesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,March,Tuesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,March,Wednesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,March,Wednesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,March,Wednesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,March,Friday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,4,1.25,5.0,2011,March,Wednesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,March,Thursday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,April,Monday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,5,1.25,6.25,2011,April,Monday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,April,Monday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,May,Sunday,4 PM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,10,1.25,12.5,2011,May,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,May,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,May,Wednesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,June,Thursday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,June,Wednesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,June,Monday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,June,Tuesday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,June,Wednesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.25,2.5,2011,June,Wednesday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,June,Wednesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,June,Thursday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,36,1.25,45.0,2011,June,Thursday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,July,Monday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,July,Monday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,July,Wednesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,July,Thursday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,July,Friday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,4,2.46,9.84,2011,July,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,July,Monday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,August,Thursday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,August,Tuesday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,September,Tuesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,September,Wednesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,September,Friday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,September,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Monday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,February,Monday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,February,Thursday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Friday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Monday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,February,Thursday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,3,1.25,3.75,2011,February,Tuesday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Wednesday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,February,Sunday,11 AM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,February,Monday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Sunday,11 AM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,3,1.25,3.75,2011,January,Wednesday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,January,Friday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Monday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,January,Monday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,12,1.25,15.0,2011,January,Tuesday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Tuesday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Tuesday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Wednesday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Wednesday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Sunday,1 PM,Weekend
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.25,2.5,2011,January,Monday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,January,Tuesday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,January,Thursday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,3,1.25,3.75,2011,January,Thursday,1 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,January,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,1.25,2.5,2011,January,Thursday,2 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Friday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,January,Monday,3 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,January,Tuesday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Thursday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,1.25,1.25,2011,December,Friday,12 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Monday,11 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Monday,5 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Tuesday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Thursday,9 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Thursday,10 AM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,1,2.46,2.46,2011,December,Thursday,4 PM,Weekday
SET OF 6 STRAWBERRY CHOPSTICKS,2,2.46,4.92,2011,December,Friday,10 AM,Weekday
