Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,1,0.55,0.55,2011,June,Friday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,2,0.55,1.1,2011,June,Friday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,3,0.55,1.65,2011,June,Sunday,12 PM,Weekend
SET OF 60 PANTRY DESIGN CAKE CASES,1,0.55,0.55,2011,June,Sunday,2 PM,Weekend
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Monday,9 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Monday,3 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,2,0.55,1.1,2011,June,Tuesday,1 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,5,0.55,2.75,2011,June,Tuesday,2 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Tuesday,4 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,1,1.25,1.25,2011,June,Tuesday,5 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Wednesday,9 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Wednesday,11 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Wednesday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,3,0.55,1.65,2011,June,Wednesday,1 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,6,1.25,7.5,2011,June,Wednesday,5 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,9 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,10 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,10 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,11 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,2,1.25,2.5,2011,June,Thursday,3 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Thursday,5 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Friday,2 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Sunday,9 AM,Weekend
SET OF 60 PANTRY DESIGN CAKE CASES,6,0.55,3.3,2011,June,Sunday,1 PM,Weekend
SET OF 60 PANTRY DESIGN CAKE CASES,3,0.55,1.65,2011,June,Sunday,2 PM,Weekend
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Monday,10 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,48,0.55,26.4,2011,June,Monday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,3,0.55,1.65,2011,June,Monday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Monday,2 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,2,1.25,2.5,2011,June,Monday,3 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Tuesday,8 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Tuesday,9 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,120,0.42,50.4,2011,June,Tuesday,11 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Tuesday,11 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Tuesday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Tuesday,12 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,48,0.55,26.4,2011,June,Tuesday,1 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,2,1.25,2.5,2011,June,Tuesday,5 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,2,1.25,2.5,2011,June,Tuesday,5 PM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,3,0.55,1.65,2011,June,Wednesday,10 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,24,0.55,13.2,2011,June,Wednesday,10 AM,Weekday
SET OF 60 PANTRY DESIGN CAKE CASES,120,0.42,50.4,2011,June,Wednesday,11 AM,Weekday
