Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,17.4,2010,December,Wednesday,11 AM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,2.98,2.98,2010,December,Wednesday,2 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,2,1.45,2.9,2010,December,Thursday,11 AM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,24,1.45,34.8,2010,December,Thursday,2 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,1.45,1.45,2010,December,Friday,11 AM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,17.4,2010,December,Friday,12 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,4,3.83,15.32,2010,December,Friday,2 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,1.45,1.45,2010,December,Sunday,12 PM,Weekend
SET OF 72 RETROSPOT PAPER  DOILIES,24,1.45,34.8,2010,December,Sunday,3 PM,Weekend
SET OF 72 RETROSPOT PAPER  DOILIES,2,1.45,2.9,2010,December,Sunday,3 PM,Weekend
SET OF 72 RETROSPOT PAPER  DOILIES,2,2.98,5.96,2010,December,Monday,10 AM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,2.98,2.98,2010,December,Monday,4 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,17.4,2010,December,Tuesday,1 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,9,3.83,34.47,2010,December,Tuesday,3 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,2.98,2.98,2010,December,Tuesday,6 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,1.45,1.45,2010,December,Wednesday,12 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,12,1.45,17.4,2010,December,Wednesday,2 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,1.45,1.45,2010,December,Thursday,1 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,1,2.98,2.98,2010,December,Thursday,2 PM,Weekday
SET OF 72 RETROSPOT PAPER  DOILIES,2,1.45,2.9,2010,December,Thursday,8 PM,Weekday
