Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2010,December,Thursday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2010,December,Friday,5 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2010,December,Thursday,8 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.83,3.83,2010,December,Friday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.83,3.83,2010,December,Tuesday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,72,1.45,104.4,2010,December,Thursday,7 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2010,December,Thursday,12 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,January,Friday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.46,2.46,2011,January,Tuesday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,January,Thursday,12 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.46,2.46,2011,January,Friday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,4,1.45,5.8,2011,January,Tuesday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.46,2.46,2011,January,Monday,10 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,February,Thursday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,3,1.45,4.35,2011,February,Friday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,February,Tuesday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,February,Monday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,February,Thursday,12 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,February,Friday,8 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.75,3.75,2011,February,Wednesday,11 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.75,3.75,2011,February,Friday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.92,2.92,2011,February,Monday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,3.75,7.5,2011,March,Friday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,3,1.45,4.35,2011,March,Tuesday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,March,Tuesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.92,2.92,2011,March,Thursday,6 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,5,1.45,7.25,2011,March,Sunday,12 PM,Weekend
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,March,Monday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,March,Friday,12 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,96,1.25,120.0,2011,March,Tuesday,11 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,April,Friday,11 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,April,Friday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,April,Monday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,April,Monday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.92,2.92,2011,April,Monday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.75,3.75,2011,April,Wednesday,11 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,April,Wednesday,5 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,April,Thursday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,April,Thursday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,May,Thursday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,May,Sunday,12 PM,Weekend
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,May,Sunday,12 PM,Weekend
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,May,Sunday,12 PM,Weekend
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,May,Wednesday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,2.92,2.92,2011,May,Tuesday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,May,Friday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,June,Monday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,June,Monday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,June,Tuesday,12 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,June,Friday,8 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,June,Sunday,3 PM,Weekend
SET OF 72 SKULL PAPER  DOILIES,15,1.25,18.75,2011,June,Wednesday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,June,Thursday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Monday,10 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Monday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.25,2.5,2011,July,Tuesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Tuesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,3,1.25,3.75,2011,July,Tuesday,5 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Thursday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.75,3.75,2011,July,Friday,2 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,July,Sunday,1 PM,Weekend
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,July,Monday,11 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,7,1.25,8.75,2011,July,Monday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Tuesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Tuesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Wednesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.25,2.5,2011,July,Friday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Monday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,2,1.45,2.9,2011,July,Tuesday,12 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,3.75,3.75,2011,July,Tuesday,1 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,6,1.25,7.5,2011,July,Wednesday,4 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.25,1.25,2011,July,Friday,9 AM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,July,Wednesday,3 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,1,1.45,1.45,2011,August,Thursday,5 PM,Weekday
SET OF 72 SKULL PAPER  DOILIES,12,1.45,17.4,2011,August,Wednesday,1 PM,Weekday
