Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2010,December,Wednesday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,1.25,1.25,2010,December,Thursday,3 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,1.25,1.25,2010,December,Friday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2010,December,Sunday,1 PM,Weekend
SET OF 9 HEART SHAPED BALLOONS,24,1.25,30.0,2010,December,Sunday,1 PM,Weekend
SET OF 9 HEART SHAPED BALLOONS,4,1.25,5.0,2010,December,Monday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,2.51,5.02,2010,December,Tuesday,6 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,36,1.25,45.0,2010,December,Wednesday,10 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,1.25,1.25,2010,December,Wednesday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2010,December,Wednesday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2010,December,Thursday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,5,1.25,6.25,2010,December,Sunday,1 PM,Weekend
SET OF 9 HEART SHAPED BALLOONS,24,1.25,30.0,2010,December,Wednesday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2010,December,Wednesday,4 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2010,December,Thursday,10 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,24,1.25,30.0,2010,December,Thursday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2010,December,Thursday,3 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,2.51,2.51,2010,December,Friday,5 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,January,Tuesday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,4,1.25,5.0,2011,January,Tuesday,3 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Wednesday,10 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Wednesday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,30,1.25,37.5,2011,January,Thursday,4 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Friday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,2.51,2.51,2011,January,Monday,9 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Tuesday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,2.46,2.46,2011,January,Thursday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Friday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Friday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,January,Sunday,11 AM,Weekend
SET OF 9 HEART SHAPED BALLOONS,1,1.25,1.25,2011,January,Sunday,3 PM,Weekend
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Monday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,January,Monday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,3,2.46,7.38,2011,January,Monday,5 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,60,1.25,75.0,2011,January,Tuesday,9 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,36,1.25,45.0,2011,January,Tuesday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,3,1.25,3.75,2011,January,Tuesday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,January,Tuesday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Wednesday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Wednesday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,January,Wednesday,4 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,5,1.25,6.25,2011,January,Wednesday,5 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,3,1.25,3.75,2011,January,Thursday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,100,1.06,106.0,2011,January,Thursday,3 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,2.46,2.46,2011,January,Thursday,6 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Friday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Friday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,1.25,1.25,2011,January,Sunday,11 AM,Weekend
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,January,Sunday,12 PM,Weekend
SET OF 9 HEART SHAPED BALLOONS,1,2.46,2.46,2011,January,Monday,9 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,20,1.25,25.0,2011,January,Monday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Monday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,36,1.25,45.0,2011,January,Tuesday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,January,Wednesday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Wednesday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Thursday,8 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,1.25,1.25,2011,January,Friday,5 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,January,Sunday,1 PM,Weekend
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Monday,9 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,4,2.46,9.84,2011,January,Monday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,12,1.25,15.0,2011,January,Monday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,January,Monday,2 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,February,Tuesday,10 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,February,Tuesday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,48,1.25,60.0,2011,February,Tuesday,3 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,10,1.25,12.5,2011,February,Thursday,10 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,February,Thursday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,February,Thursday,12 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,20,1.25,25.0,2011,February,Thursday,1 PM,Weekday
SET OF 9 HEART SHAPED BALLOONS,4,2.46,9.84,2011,February,Friday,10 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,2,1.25,2.5,2011,February,Monday,11 AM,Weekday
SET OF 9 HEART SHAPED BALLOONS,1,2.46,2.46,2011,February,Monday,2 PM,Weekday
