Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET OF SKULL WALL STICKERS,2,2.95,5.9,2010,December,Friday,12 PM,Weekday
SET OF SKULL WALL STICKERS,1,5.79,5.79,2011,January,Monday,9 AM,Weekday
SET OF SKULL WALL STICKERS,1,2.95,2.95,2011,February,Monday,3 PM,Weekday
SET OF SKULL WALL STICKERS,4,2.95,11.8,2011,March,Monday,5 PM,Weekday
SET OF SKULL WALL STICKERS,2,2.95,5.9,2011,March,Tuesday,4 PM,Weekday
SET OF SKULL WALL STICKERS,6,2.95,17.7,2011,March,Sunday,12 PM,Weekend
SET OF SKULL WALL STICKERS,1,2.95,2.95,2011,March,Monday,3 PM,Weekday
SET OF SKULL WALL STICKERS,6,2.95,17.7,2011,March,Tuesday,3 PM,Weekday
SET OF SKULL WALL STICKERS,1,2.95,2.95,2011,April,Monday,2 PM,Weekday
SET OF SKULL WALL STICKERS,4,2.95,11.8,2011,April,Wednesday,10 AM,Weekday
SET OF SKULL WALL STICKERS,1,2.95,2.95,2011,April,Thursday,12 PM,Weekday
SET OF SKULL WALL STICKERS,6,2.95,17.7,2011,May,Sunday,12 PM,Weekend
SET OF SKULL WALL STICKERS,36,2.55,91.8,2011,June,Sunday,11 AM,Weekend
SET OF SKULL WALL STICKERS,1,2.95,2.95,2011,August,Monday,1 PM,Weekday
SET OF SKULL WALL STICKERS,6,2.95,17.7,2011,February,Tuesday,10 AM,Weekday
SET OF SKULL WALL STICKERS,1,5.79,5.79,2011,February,Tuesday,4 PM,Weekday
SET OF SKULL WALL STICKERS,1,2.95,2.95,2011,January,Sunday,12 PM,Weekend
SET OF SKULL WALL STICKERS,2,2.95,5.9,2011,January,Thursday,3 PM,Weekday
SET OF SKULL WALL STICKERS,12,2.95,35.4,2011,January,Thursday,7 PM,Weekday
SET OF SKULL WALL STICKERS,1,5.79,5.79,2011,January,Wednesday,3 PM,Weekday
