Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,7,1.63,11.41,2011,January,Friday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,8,1.63,13.04,2011,January,Friday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,January,Tuesday,1 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,January,Monday,10 AM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,3,1.63,4.89,2011,February,Tuesday,12 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,February,Wednesday,11 AM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,4,1.63,6.52,2011,February,Friday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,March,Tuesday,9 AM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,5,1.63,8.15,2011,March,Monday,10 AM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,2,1.63,3.26,2011,March,Friday,1 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,March,Tuesday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,4,1.63,6.52,2011,March,Tuesday,4 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,4,1.63,6.52,2011,March,Tuesday,1 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,2,1.63,3.26,2011,April,Monday,10 AM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,April,Friday,1 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,5,1.63,8.15,2011,April,Wednesday,11 AM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,4,1.63,6.52,2011,May,Tuesday,3 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,4,1.63,6.52,2011,May,Friday,4 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,2,1.63,3.26,2011,May,Tuesday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,9,1.63,14.67,2011,May,Friday,3 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,1,1.63,1.63,2011,May,Tuesday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,11,1.63,17.93,2011,June,Wednesday,3 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,2,1.63,3.26,2011,June,Friday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,2,1.63,3.26,2011,June,Tuesday,2 PM,Weekday
SET/20 FRUIT SALAD PAPER NAPKINS,3,1.63,4.89,2011,June,Tuesday,3 PM,Weekday
