Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/4 BADGES CUTE CREATURES,5,1.25,6.25,2010,December,Wednesday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,2.51,5.02,2010,December,Friday,11 AM,Weekday
SET/4 BADGES CUTE CREATURES,4,1.25,5.0,2010,December,Thursday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.51,2.51,2010,December,Thursday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2010,December,Monday,9 AM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2010,December,Wednesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2010,December,Thursday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,3,0.85,2.55,2010,December,Thursday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,3,0.85,2.55,2011,January,Tuesday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,0.85,0.85,2011,January,Thursday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,0.85,0.85,2011,January,Friday,11 AM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.85,1.7,2011,January,Friday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,January,Friday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,0.85,0.85,2011,January,Monday,9 AM,Weekday
SET/4 BADGES CUTE CREATURES,3,0.85,2.55,2011,January,Tuesday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.85,1.7,2011,January,Wednesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,5,0.83,4.15,2011,January,Thursday,9 AM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.83,1.66,2011,January,Thursday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.83,1.66,2011,January,Friday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.83,1.66,2011,January,Monday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.83,1.66,2011,January,Monday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,3,0.83,2.49,2011,January,Tuesday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,0.83,0.83,2011,January,Wednesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,0.83,0.83,2011,January,Thursday,6 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,0.83,0.83,2011,January,Thursday,6 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,0.83,1.66,2011,January,Friday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,20,1.25,25.0,2011,February,Tuesday,11 AM,Weekday
SET/4 BADGES CUTE CREATURES,2,1.25,2.5,2011,February,Wednesday,11 AM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,February,Friday,12 PM,Weekday
SET/4 BADGES CUTE CREATURES,5,1.25,6.25,2011,February,Monday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,March,Friday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,March,Monday,12 PM,Weekday
SET/4 BADGES CUTE CREATURES,6,1.25,7.5,2011,April,Monday,4 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,April,Tuesday,10 AM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,April,Tuesday,4 PM,Weekday
SET/4 BADGES CUTE CREATURES,5,2.46,12.3,2011,May,Tuesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,June,Thursday,12 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,June,Thursday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,2,1.25,2.5,2011,July,Friday,12 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,July,Tuesday,1 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,1.25,1.25,2011,August,Tuesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,1.25,1.25,2011,August,Wednesday,4 PM,Weekday
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,August,Sunday,2 PM,Weekend
SET/4 BADGES CUTE CREATURES,10,1.25,12.5,2011,August,Wednesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,3,1.25,3.75,2011,August,Sunday,12 PM,Weekend
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,August,Tuesday,10 AM,Weekday
SET/4 BADGES CUTE CREATURES,20,1.25,25.0,2011,September,Tuesday,10 AM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,February,Monday,5 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,February,Monday,2 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,January,Thursday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,9,2.46,22.14,2011,January,Monday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,January,Wednesday,3 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,1.25,1.25,2011,December,Wednesday,12 PM,Weekday
SET/4 BADGES CUTE CREATURES,1,2.46,2.46,2011,December,Thursday,9 AM,Weekday
