Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/4 BIRD MIRROR MAGNETS,1,2.1,2.1,2010,December,Sunday,3 PM,Weekend
SET/4 BIRD MIRROR MAGNETS,4,2.1,8.4,2010,December,Wednesday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,2.1,2.1,2010,December,Thursday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,3.36,3.36,2010,December,Tuesday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,2.1,2.1,2011,March,Thursday,12 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,6,2.1,12.6,2011,April,Thursday,11 AM,Weekday
SET/4 BIRD MIRROR MAGNETS,2,2.1,4.2,2011,May,Sunday,11 AM,Weekend
SET/4 BIRD MIRROR MAGNETS,1,3.29,3.29,2011,June,Thursday,4 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,4,0.29,1.16,2011,July,Monday,4 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,48,0.29,13.92,2011,July,Wednesday,12 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,July,Thursday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,July,Sunday,3 PM,Weekend
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,July,Monday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,July,Friday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,July,Thursday,11 AM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,July,Friday,10 AM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,July,Friday,10 AM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,July,Tuesday,1 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,3.29,3.29,2011,July,Wednesday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,3.29,3.29,2011,July,Wednesday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,July,Sunday,12 PM,Weekend
SET/4 BIRD MIRROR MAGNETS,1,3.29,3.29,2011,August,Friday,4 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,23,0.29,6.67,2011,August,Sunday,3 PM,Weekend
SET/4 BIRD MIRROR MAGNETS,1,3.29,3.29,2011,August,Thursday,10 AM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,August,Friday,12 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,3.29,3.29,2011,August,Friday,4 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,2,0.29,0.58,2011,August,Monday,12 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,August,Sunday,2 PM,Weekend
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,August,Monday,12 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,5,0.29,1.45,2011,August,Monday,1 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,August,Tuesday,1 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,August,Wednesday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,August,Thursday,1 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,August,Thursday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,August,Wednesday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,4,0.29,1.16,2011,September,Thursday,5 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,September,Friday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,2,0.29,0.58,2011,September,Tuesday,2 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,24,0.29,6.96,2011,September,Tuesday,3 PM,Weekday
SET/4 BIRD MIRROR MAGNETS,1,0.29,0.29,2011,September,Sunday,1 PM,Weekend
SET/4 BIRD MIRROR MAGNETS,4,0.29,1.16,2011,February,Friday,11 AM,Weekday
