Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,2,3.36,6.72,2010,December,Wednesday,5 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,12,1.65,19.8,2010,December,Thursday,2 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2010,December,Wednesday,10 AM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,1,1.65,1.65,2010,December,Thursday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,1,1.65,1.65,2011,January,Tuesday,3 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,3,1.65,4.95,2011,January,Wednesday,10 AM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,January,Monday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,3,1.65,4.95,2011,January,Friday,3 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,January,Sunday,3 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,1,1.65,1.65,2011,January,Wednesday,2 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,6,1.65,9.9,2011,January,Wednesday,2 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,January,Thursday,3 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,January,Sunday,3 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,February,Monday,2 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,February,Wednesday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,12,1.65,19.8,2011,February,Friday,12 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,February,Tuesday,4 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,February,Sunday,3 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,March,Tuesday,4 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,March,Friday,2 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,6,1.65,9.9,2011,March,Tuesday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,March,Monday,4 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,5,1.65,8.25,2011,March,Wednesday,12 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,March,Wednesday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,6,1.65,9.9,2011,March,Wednesday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,8,1.65,13.2,2011,March,Thursday,8 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,1,1.65,1.65,2011,March,Friday,12 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,1,1.65,1.65,2011,March,Sunday,1 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,March,Sunday,2 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,2,1.65,3.3,2011,April,Sunday,2 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,3,1.65,4.95,2011,April,Monday,1 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,6,1.65,9.9,2011,April,Tuesday,12 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,8,1.65,13.2,2011,April,Thursday,11 AM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,3,1.65,4.95,2011,April,Friday,3 PM,Weekday
SET/4 BLUE FLOWER CANDLES IN BOWL,4,1.65,6.6,2011,April,Sunday,12 PM,Weekend
SET/4 BLUE FLOWER CANDLES IN BOWL,1,1.65,1.65,2011,April,Sunday,12 PM,Weekend
