Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,1,2.95,2.95,2010,December,Wednesday,1 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,3,2.95,8.85,2010,December,Sunday,2 PM,Weekend
SET/4 MODERN VINTAGE COTTON NAPKINS,6,2.95,17.7,2010,December,Thursday,11 AM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,2.95,5.9,2011,February,Sunday,3 PM,Weekend
SET/4 MODERN VINTAGE COTTON NAPKINS,4,0.79,3.16,2011,March,Monday,5 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,3,0.79,2.37,2011,March,Wednesday,2 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,March,Monday,3 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,6,0.79,4.74,2011,March,Tuesday,3 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,March,Friday,1 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,10,0.79,7.9,2011,March,Sunday,11 AM,Weekend
SET/4 MODERN VINTAGE COTTON NAPKINS,1,0.79,0.79,2011,March,Sunday,1 PM,Weekend
SET/4 MODERN VINTAGE COTTON NAPKINS,4,0.79,3.16,2011,March,Wednesday,3 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,March,Monday,12 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,3,0.79,2.37,2011,March,Monday,12 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,5,0.79,3.95,2011,March,Monday,12 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,10,0.79,7.9,2011,March,Monday,3 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,March,Tuesday,3 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,1,0.79,0.79,2011,April,Tuesday,12 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,April,Wednesday,10 AM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,April,Wednesday,11 AM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,2,0.79,1.58,2011,April,Thursday,12 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,3,0.79,2.37,2011,April,Thursday,12 PM,Weekday
SET/4 MODERN VINTAGE COTTON NAPKINS,1,0.79,0.79,2011,May,Wednesday,1 PM,Weekday
