Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/4 SKULL BADGES,2,2.51,5.02,2010,December,Friday,11 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2010,December,Friday,5 PM,Weekday
SET/4 SKULL BADGES,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
SET/4 SKULL BADGES,5,1.25,6.25,2010,December,Monday,12 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2010,December,Tuesday,10 AM,Weekday
SET/4 SKULL BADGES,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
SET/4 SKULL BADGES,1,1.25,1.25,2010,December,Thursday,12 PM,Weekday
SET/4 SKULL BADGES,4,1.25,5.0,2010,December,Thursday,1 PM,Weekday
SET/4 SKULL BADGES,2,2.51,5.02,2010,December,Friday,9 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2010,December,Monday,9 AM,Weekday
SET/4 SKULL BADGES,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2010,December,Monday,2 PM,Weekday
SET/4 SKULL BADGES,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
SET/4 SKULL BADGES,2,0.85,1.7,2011,January,Wednesday,11 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,January,Wednesday,12 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,January,Thursday,4 PM,Weekday
SET/4 SKULL BADGES,4,1.25,5.0,2011,January,Friday,2 PM,Weekday
SET/4 SKULL BADGES,2,0.85,1.7,2011,January,Monday,9 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,January,Thursday,9 AM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
SET/4 SKULL BADGES,7,0.83,5.81,2011,January,Wednesday,3 PM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,January,Thursday,6 PM,Weekday
SET/4 SKULL BADGES,4,1.25,5.0,2011,January,Sunday,1 PM,Weekend
SET/4 SKULL BADGES,5,0.83,4.15,2011,January,Wednesday,4 PM,Weekday
SET/4 SKULL BADGES,20,1.25,25.0,2011,January,Thursday,1 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,January,Monday,3 PM,Weekday
SET/4 SKULL BADGES,20,1.25,25.0,2011,February,Tuesday,11 AM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,February,Tuesday,3 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,February,Friday,12 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,February,Monday,11 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,February,Tuesday,2 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,February,Thursday,7 PM,Weekday
SET/4 SKULL BADGES,20,1.25,25.0,2011,February,Wednesday,11 AM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,February,Thursday,3 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,March,Monday,12 PM,Weekday
SET/4 SKULL BADGES,3,1.25,3.75,2011,March,Tuesday,4 PM,Weekday
SET/4 SKULL BADGES,6,1.25,7.5,2011,March,Friday,1 PM,Weekday
SET/4 SKULL BADGES,6,1.25,7.5,2011,March,Monday,2 PM,Weekday
SET/4 SKULL BADGES,2,1.25,2.5,2011,March,Monday,3 PM,Weekday
SET/4 SKULL BADGES,6,1.25,7.5,2011,March,Monday,3 PM,Weekday
SET/4 SKULL BADGES,4,0.83,3.32,2011,March,Tuesday,9 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,March,Tuesday,12 PM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,March,Wednesday,4 PM,Weekday
SET/4 SKULL BADGES,20,1.25,25.0,2011,March,Thursday,1 PM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,April,Monday,4 PM,Weekday
SET/4 SKULL BADGES,3,1.25,3.75,2011,April,Monday,11 AM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
SET/4 SKULL BADGES,7,0.83,5.81,2011,April,Monday,1 PM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,April,Tuesday,9 AM,Weekday
SET/4 SKULL BADGES,2,0.83,1.66,2011,April,Tuesday,3 PM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,April,Thursday,6 PM,Weekday
SET/4 SKULL BADGES,20,1.25,25.0,2011,April,Tuesday,8 AM,Weekday
SET/4 SKULL BADGES,10,1.25,12.5,2011,April,Tuesday,9 AM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,April,Tuesday,4 PM,Weekday
SET/4 SKULL BADGES,3,0.83,2.49,2011,May,Tuesday,4 PM,Weekday
SET/4 SKULL BADGES,20,1.25,25.0,2011,May,Friday,8 AM,Weekday
SET/4 SKULL BADGES,2,0.83,1.66,2011,May,Friday,3 PM,Weekday
SET/4 SKULL BADGES,3,1.25,3.75,2011,May,Monday,3 PM,Weekday
SET/4 SKULL BADGES,1,0.83,0.83,2011,May,Tuesday,4 PM,Weekday
SET/4 SKULL BADGES,2,0.83,1.66,2011,May,Wednesday,3 PM,Weekday
SET/4 SKULL BADGES,1,1.25,1.25,2011,May,Sunday,12 PM,Weekend
SET/4 SKULL BADGES,5,1.25,6.25,2011,May,Tuesday,4 PM,Weekday
