Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/4 SPRING FLOWER DECORATION,3,2.95,8.85,2010,December,Thursday,1 PM,Weekday
SET/4 SPRING FLOWER DECORATION,1,2.95,2.95,2011,January,Tuesday,3 PM,Weekday
SET/4 SPRING FLOWER DECORATION,1,5.91,5.91,2011,January,Wednesday,9 AM,Weekday
SET/4 SPRING FLOWER DECORATION,6,2.95,17.7,2011,January,Thursday,11 AM,Weekday
SET/4 SPRING FLOWER DECORATION,1,2.95,2.95,2011,January,Monday,11 AM,Weekday
SET/4 SPRING FLOWER DECORATION,2,2.95,5.9,2011,January,Wednesday,4 PM,Weekday
SET/4 SPRING FLOWER DECORATION,4,2.95,11.8,2011,January,Sunday,12 PM,Weekend
SET/4 SPRING FLOWER DECORATION,2,5.79,11.58,2011,January,Friday,2 PM,Weekday
SET/4 SPRING FLOWER DECORATION,4,2.95,11.8,2011,February,Sunday,12 PM,Weekend
SET/4 SPRING FLOWER DECORATION,1,5.79,5.79,2011,February,Wednesday,3 PM,Weekday
SET/4 SPRING FLOWER DECORATION,12,2.95,35.4,2011,February,Sunday,2 PM,Weekend
SET/4 SPRING FLOWER DECORATION,1,2.95,2.95,2011,February,Monday,12 PM,Weekday
SET/4 SPRING FLOWER DECORATION,6,2.95,17.7,2011,February,Wednesday,11 AM,Weekday
SET/4 SPRING FLOWER DECORATION,1,5.79,5.79,2011,February,Wednesday,3 PM,Weekday
SET/4 SPRING FLOWER DECORATION,6,2.95,17.7,2011,February,Friday,10 AM,Weekday
SET/4 SPRING FLOWER DECORATION,6,2.95,17.7,2011,February,Friday,10 AM,Weekday
SET/4 SPRING FLOWER DECORATION,5,2.95,14.75,2011,February,Sunday,12 PM,Weekend
SET/4 SPRING FLOWER DECORATION,1,5.79,5.79,2011,March,Tuesday,4 PM,Weekday
SET/4 SPRING FLOWER DECORATION,2,2.95,5.9,2011,March,Friday,9 AM,Weekday
