Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,12,0.85,10.2,2011,January,Friday,12 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,5,1.66,8.3,2011,January,Monday,2 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,12,0.85,10.2,2011,January,Monday,11 AM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,24,0.85,20.4,2011,March,Thursday,2 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,1,0.83,0.83,2011,March,Thursday,4 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,5,0.85,4.25,2011,March,Friday,12 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,5,0.83,4.15,2011,March,Friday,4 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,12,0.85,10.2,2011,March,Friday,10 AM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,1,0.83,0.83,2011,March,Friday,12 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,3,0.85,2.55,2011,March,Tuesday,4 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,192,0.39,74.88,2011,April,Friday,9 AM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,5,0.39,1.95,2011,April,Sunday,11 AM,Weekend
SET/6 FRUIT SALAD  PAPER PLATES,12,0.39,4.68,2011,April,Monday,12 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,2,0.39,0.78,2011,April,Thursday,12 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,10,0.39,3.9,2011,April,Sunday,12 PM,Weekend
SET/6 FRUIT SALAD  PAPER PLATES,24,0.39,9.36,2011,April,Monday,10 AM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,12,0.39,4.68,2011,April,Monday,1 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,3,0.83,2.49,2011,April,Monday,1 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,2,0.39,0.78,2011,April,Monday,2 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,48,0.39,18.72,2011,April,Tuesday,2 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,48,0.39,18.72,2011,April,Thursday,12 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,7,0.39,2.73,2011,April,Thursday,4 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,2,0.83,1.66,2011,April,Thursday,6 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,24,0.39,9.36,2011,April,Tuesday,9 AM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,6,0.39,2.34,2011,April,Tuesday,3 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,24,0.39,9.36,2011,April,Wednesday,2 PM,Weekday
SET/6 FRUIT SALAD  PAPER PLATES,12,0.39,4.68,2011,May,Sunday,1 PM,Weekend
SET/6 FRUIT SALAD  PAPER PLATES,12,0.39,4.68,2011,May,Sunday,4 PM,Weekend
SET/6 FRUIT SALAD  PAPER PLATES,12,0.39,4.68,2011,May,Monday,12 PM,Weekday
