Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.21,4.21,2010,December,Wednesday,5 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2010,December,Sunday,3 PM,Weekend
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.21,4.21,2010,December,Wednesday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,24,0.85,20.4,2010,December,Monday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2010,December,Tuesday,12 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2010,December,Wednesday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2010,December,Thursday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.21,4.21,2010,December,Monday,10 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2010,December,Tuesday,10 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.21,4.21,2010,December,Tuesday,1 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.51,5.02,2010,December,Thursday,1 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2010,December,Thursday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.51,15.06,2011,January,Tuesday,1 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2011,January,Wednesday,10 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,4,2.51,10.04,2011,January,Wednesday,11 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.51,2.51,2011,January,Thursday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.51,5.02,2011,January,Friday,1 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,3,2.51,7.53,2011,January,Monday,9 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.51,5.02,2011,January,Monday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.51,5.02,2011,January,Monday,4 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.51,5.02,2011,January,Wednesday,9 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,24,1.69,40.56,2011,January,Wednesday,12 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,3,2.51,7.53,2011,January,Wednesday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.46,2.46,2011,January,Thursday,9 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.46,2.46,2011,January,Thursday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,3,2.46,7.38,2011,January,Friday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.46,2.46,2011,January,Monday,5 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.46,4.92,2011,January,Monday,5 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.46,2.46,2011,January,Monday,5 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.46,4.92,2011,January,Tuesday,5 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,4,2.46,9.84,2011,January,Wednesday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,January,Wednesday,4 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,2.46,4.92,2011,January,Thursday,6 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.13,4.13,2011,January,Monday,9 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,12,0.85,10.2,2011,January,Tuesday,11 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,February,Sunday,3 PM,Weekend
SET/6 PINK BIRD T-LIGHT CANDLES,5,4.13,20.65,2011,February,Monday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.1,12.6,2011,February,Thursday,12 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.1,12.6,2011,February,Thursday,10 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,24,0.85,20.4,2011,February,Thursday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.1,12.6,2011,March,Tuesday,1 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.1,12.6,2011,March,Tuesday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.13,4.13,2011,March,Thursday,6 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,March,Friday,12 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,March,Monday,12 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.13,4.13,2011,March,Tuesday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,March,Tuesday,5 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,4,4.13,16.52,2011,April,Monday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,April,Sunday,12 PM,Weekend
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.1,12.6,2011,April,Tuesday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,24,1.69,40.56,2011,April,Tuesday,2 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,72,0.85,61.2,2011,May,Wednesday,11 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,4.13,4.13,2011,May,Thursday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,May,Tuesday,1 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,1,2.1,2.1,2011,May,Monday,4 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,6,2.1,12.6,2011,May,Monday,8 AM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,2,4.13,8.26,2011,May,Tuesday,3 PM,Weekday
SET/6 PINK BIRD T-LIGHT CANDLES,9,2.46,22.14,2011,June,Wednesday,3 PM,Weekday
