Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Wednesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2010,December,Wednesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,60,0.85,51.0,2010,December,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2010,December,Thursday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Friday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,10,0.85,8.5,2010,December,Friday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2010,December,Friday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,192,0.64,122.88,2010,December,Sunday,3 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2010,December,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Tuesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.85,4.25,2010,December,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,1.66,3.32,2010,December,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2010,December,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,11,0.85,9.35,2010,December,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.85,5.95,2010,December,Wednesday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2010,December,Wednesday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2010,December,Thursday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,1.66,3.32,2010,December,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2010,December,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2010,December,Wednesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.85,0.85,2010,December,Thursday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,1.66,8.3,2010,December,Thursday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,January,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Thursday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,January,Friday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,January,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,January,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Thursday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,1.63,6.52,2011,January,Thursday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,2.46,7.38,2011,January,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,January,Tuesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,January,Tuesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2011,January,Wednesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,January,Wednesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Wednesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Thursday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.85,5.95,2011,January,Thursday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,January,Friday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,January,Monday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,January,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2011,January,Tuesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,January,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Friday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,January,Friday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,1.63,1.63,2011,January,Monday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,January,Monday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,48,0.85,40.8,2011,January,Monday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,February,Tuesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Wednesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,February,Wednesday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Friday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,1.63,4.89,2011,February,Monday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,February,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Tuesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Tuesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Wednesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Wednesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,February,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.83,4.15,2011,February,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,February,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,4,0.83,3.32,2011,February,Monday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,February,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,288,0.64,184.32,2011,February,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.85,4.25,2011,February,Tuesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,February,Tuesday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Wednesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Wednesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,February,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,February,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.85,4.25,2011,February,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,February,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,February,Thursday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,February,Sunday,3 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,February,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.83,4.98,2011,February,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,9,0.83,7.47,2011,February,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,February,Thursday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.83,4.98,2011,February,Thursday,6 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Friday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,February,Friday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,February,Sunday,12 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,February,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,March,Tuesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,March,Thursday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,March,Thursday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,15,0.83,12.45,2011,March,Thursday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.85,5.95,2011,March,Friday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,March,Sunday,2 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,March,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Wednesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,March,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,70,0.85,59.5,2011,March,Friday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.85,4.25,2011,March,Sunday,2 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.85,0.85,2011,March,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,March,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,2.46,7.38,2011,March,Tuesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,March,Wednesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,March,Wednesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Wednesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.83,3.32,2011,March,Thursday,6 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,March,Thursday,6 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Friday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,March,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Sunday,3 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,March,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Monday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2011,March,Monday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.83,4.98,2011,March,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,March,Tuesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Wednesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Wednesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,48,0.85,40.8,2011,March,Wednesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Thursday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,8,0.85,6.8,2011,March,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.83,4.15,2011,March,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,March,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,March,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,March,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,March,Tuesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,March,Tuesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,48,0.85,40.8,2011,March,Tuesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,10,0.83,8.3,2011,March,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,March,Wednesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,March,Wednesday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,March,Wednesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,March,Wednesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,March,Thursday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,2.46,7.38,2011,March,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,March,Thursday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.83,5.81,2011,March,Thursday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.85,4.25,2011,April,Sunday,10 AM,Weekend
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,April,Sunday,11 AM,Weekend
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,April,Monday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,April,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,April,Tuesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,April,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,April,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,April,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,April,Thursday,7 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,April,Friday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,10,0.85,8.5,2011,April,Friday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.83,3.32,2011,April,Friday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.83,3.32,2011,April,Friday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,April,Sunday,11 AM,Weekend
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,April,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,April,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,April,Thursday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,April,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,April,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,April,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,April,Friday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,April,Monday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,April,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,9,0.83,7.47,2011,April,Monday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,9,0.83,7.47,2011,April,Monday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,April,Monday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,April,Monday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,April,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.83,5.81,2011,April,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,April,Tuesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.83,5.81,2011,April,Tuesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,April,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,16,0.83,13.28,2011,April,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.85,3.4,2011,April,Wednesday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.85,2.55,2011,April,Thursday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,April,Thursday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,April,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,2.46,9.84,2011,April,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.83,4.15,2011,April,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,0.83,1.66,2011,April,Tuesday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,8,0.85,6.8,2011,April,Wednesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,8,0.83,6.64,2011,April,Thursday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,May,Tuesday,8 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,May,Tuesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,May,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.85,5.1,2011,May,Wednesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.85,4.25,2011,May,Wednesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,May,Thursday,7 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,4,0.83,3.32,2011,May,Thursday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.83,4.15,2011,May,Thursday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,24,0.85,20.4,2011,May,Thursday,5 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Friday,1 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,May,Friday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,7,0.83,5.81,2011,May,Friday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Sunday,3 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,2,0.85,1.7,2011,May,Monday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Monday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.83,4.98,2011,May,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,May,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,13,0.83,10.79,2011,May,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Tuesday,10 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Tuesday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,2.46,7.38,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,2.46,7.38,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Wednesday,2 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,8,0.85,6.8,2011,May,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,6,0.83,4.98,2011,May,Wednesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Thursday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,96,0.64,61.44,2011,May,Friday,11 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Sunday,1 PM,Weekend
SET/6 RED SPOTTY PAPER PLATES,11,0.83,9.13,2011,May,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,5,0.83,4.15,2011,May,Monday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,2.46,2.46,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,2,2.46,4.92,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,May,Tuesday,3 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,3,0.83,2.49,2011,May,Tuesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,192,0.64,122.88,2011,May,Wednesday,9 AM,Weekday
SET/6 RED SPOTTY PAPER PLATES,11,0.83,9.13,2011,May,Wednesday,4 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,36,0.85,30.6,2011,May,Thursday,12 PM,Weekday
SET/6 RED SPOTTY PAPER PLATES,1,0.83,0.83,2011,May,Thursday,4 PM,Weekday
