Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,4.21,4.21,2010,December,Friday,11 AM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2.1,4.2,2010,December,Sunday,12 PM,Weekend
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2.1,2.1,2010,December,Monday,12 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,4.21,8.42,2010,December,Tuesday,3 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,12,2.1,25.2,2010,December,Wednesday,12 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2.1,4.2,2010,December,Thursday,2 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2.1,2.1,2010,December,Friday,1 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,12,2.1,25.2,2010,December,Wednesday,11 AM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2.1,4.2,2010,December,Wednesday,2 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2.1,2.1,2010,December,Thursday,12 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,72,1.69,121.68,2010,December,Sunday,11 AM,Weekend
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,12,2.1,25.2,2010,December,Monday,2 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2.1,4.2,2010,December,Thursday,11 AM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2.1,4.2,2011,January,Tuesday,12 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2.1,2.1,2011,January,Wednesday,3 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2.1,2.1,2011,January,Tuesday,3 PM,Weekday
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,72,1.69,121.68,2011,January,Wednesday,12 PM,Weekday
