Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2010,December,Thursday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2010,December,Sunday,2 PM,Weekend
SILVER DIAMANTE PEN IN GIFT BOX,4,4.95,19.8,2010,December,Sunday,2 PM,Weekend
SILVER DIAMANTE PEN IN GIFT BOX,4,4.21,16.84,2010,December,Tuesday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.21,4.21,2010,December,Tuesday,6 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.21,8.42,2010,December,Wednesday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,12,4.95,59.4,2010,December,Wednesday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.21,8.42,2010,December,Friday,9 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2010,December,Thursday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.21,4.21,2010,December,Friday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,6,1.66,9.96,2010,December,Thursday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,1.66,1.66,2011,January,Tuesday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,1.66,4.98,2011,January,Wednesday,11 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,1.66,1.66,2011,January,Wednesday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,1.66,1.66,2011,January,Thursday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,1.66,1.66,2011,January,Friday,11 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,4,1.66,6.64,2011,January,Friday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,12,1.66,19.92,2011,January,Monday,9 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,1.66,4.98,2011,January,Monday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,4,1.66,6.64,2011,January,Monday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,1.63,3.26,2011,January,Thursday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,15,1.63,24.45,2011,January,Friday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,1.63,4.89,2011,January,Monday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,1.63,3.26,2011,January,Monday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,1.63,4.89,2011,January,Monday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,4,1.63,6.52,2011,January,Monday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,1.63,1.63,2011,January,Tuesday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,1.63,1.63,2011,January,Wednesday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,7,1.63,11.41,2011,January,Thursday,6 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,1.63,4.89,2011,January,Friday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.13,4.13,2011,February,Wednesday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,4.13,12.39,2011,February,Tuesday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.13,4.13,2011,February,Thursday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,February,Thursday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,February,Sunday,3 PM,Weekend
SILVER DIAMANTE PEN IN GIFT BOX,1,4.13,4.13,2011,March,Tuesday,9 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,4.95,14.85,2011,March,Monday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.13,4.13,2011,April,Monday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.13,8.26,2011,April,Thursday,7 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,May,Thursday,12 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,June,Tuesday,10 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,June,Tuesday,12 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,8.29,8.29,2011,June,Tuesday,5 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,4,2.46,9.84,2011,June,Wednesday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,2.46,2.46,2011,June,Thursday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,2.46,2.46,2011,July,Monday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,July,Friday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,2.46,7.38,2011,July,Monday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,6,2.46,14.76,2011,July,Tuesday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,2.46,2.46,2011,July,Friday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,4,2.46,9.84,2011,July,Monday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,2.46,4.92,2011,July,Wednesday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.95,9.9,2011,July,Sunday,1 PM,Weekend
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,September,Friday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,September,Monday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,February,Monday,12 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,8.29,8.29,2011,February,Monday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,February,Thursday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.95,9.9,2011,January,Wednesday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,6,4.95,29.7,2011,January,Wednesday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.95,9.9,2011,January,Wednesday,2 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,January,Sunday,12 PM,Weekend
SILVER DIAMANTE PEN IN GIFT BOX,1,8.29,8.29,2011,January,Monday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,8.29,8.29,2011,January,Monday,3 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,January,Wednesday,11 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,4.95,4.95,2011,January,Wednesday,11 AM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,2,4.95,9.9,2011,January,Monday,1 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,1,8.29,8.29,2011,January,Tuesday,4 PM,Weekday
SILVER DIAMANTE PEN IN GIFT BOX,3,4.95,14.85,2011,December,Sunday,2 PM,Weekend
