Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SILVER DISCO HANDBAG,1,5.95,5.95,2010,December,Thursday,7 PM,Weekday
SILVER DISCO HANDBAG,5,1.95,9.75,2011,April,Tuesday,1 PM,Weekday
SILVER DISCO HANDBAG,2,1.95,3.9,2011,May,Monday,1 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,May,Tuesday,12 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,May,Thursday,1 PM,Weekday
SILVER DISCO HANDBAG,6,1.95,11.7,2011,June,Tuesday,2 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,June,Thursday,2 PM,Weekday
SILVER DISCO HANDBAG,2,1.95,3.9,2011,June,Thursday,12 PM,Weekday
SILVER DISCO HANDBAG,1,4.13,4.13,2011,June,Wednesday,3 PM,Weekday
SILVER DISCO HANDBAG,1,1.95,1.95,2011,June,Thursday,12 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,July,Sunday,3 PM,Weekend
SILVER DISCO HANDBAG,1,1.95,1.95,2011,July,Thursday,1 PM,Weekday
SILVER DISCO HANDBAG,12,1.95,23.4,2011,July,Friday,10 AM,Weekday
SILVER DISCO HANDBAG,2,1.95,3.9,2011,July,Tuesday,3 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,July,Thursday,3 PM,Weekday
SILVER DISCO HANDBAG,12,1.95,23.4,2011,July,Thursday,3 PM,Weekday
SILVER DISCO HANDBAG,12,1.95,23.4,2011,August,Thursday,3 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,September,Sunday,3 PM,Weekend
SILVER DISCO HANDBAG,2,1.95,3.9,2011,September,Friday,1 PM,Weekday
SILVER DISCO HANDBAG,1,4.13,4.13,2011,September,Wednesday,2 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,September,Friday,1 PM,Weekday
SILVER DISCO HANDBAG,1,1.95,1.95,2011,February,Wednesday,2 PM,Weekday
SILVER DISCO HANDBAG,1,4.13,4.13,2011,February,Tuesday,5 PM,Weekday
SILVER DISCO HANDBAG,1,4.13,4.13,2011,February,Monday,2 PM,Weekday
SILVER DISCO HANDBAG,1,4.13,4.13,2011,January,Tuesday,6 PM,Weekday
SILVER DISCO HANDBAG,1,1.95,1.95,2011,January,Wednesday,4 PM,Weekday
SILVER DISCO HANDBAG,7,1.95,13.65,2011,January,Friday,12 PM,Weekday
SILVER DISCO HANDBAG,2,1.95,3.9,2011,January,Sunday,3 PM,Weekend
SILVER DISCO HANDBAG,12,1.95,23.4,2011,January,Monday,1 PM,Weekday
SILVER DISCO HANDBAG,12,1.95,23.4,2011,January,Tuesday,2 PM,Weekday
SILVER DISCO HANDBAG,1,1.95,1.95,2011,January,Thursday,1 PM,Weekday
SILVER DISCO HANDBAG,3,1.95,5.85,2011,January,Thursday,1 PM,Weekday
SILVER DISCO HANDBAG,2,1.95,3.9,2011,January,Friday,12 PM,Weekday
SILVER DISCO HANDBAG,1,4.13,4.13,2011,January,Wednesday,1 PM,Weekday
SILVER DISCO HANDBAG,1,1.95,1.95,2011,January,Friday,11 AM,Weekday
SILVER DISCO HANDBAG,2,4.13,8.26,2011,December,Thursday,4 PM,Weekday
