Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SILVER STANDING GNOME,4,4.25,17.0,2010,December,Thursday,2 PM,Weekday
SILVER STANDING GNOME,4,4.25,17.0,2011,January,Monday,3 PM,Weekday
SILVER STANDING GNOME,2,4.25,8.5,2011,March,Friday,2 PM,Weekday
SILVER STANDING GNOME,4,4.25,17.0,2011,March,Monday,1 PM,Weekday
SILVER STANDING GNOME,1,8.29,8.29,2011,March,Friday,3 PM,Weekday
SILVER STANDING GNOME,4,4.25,17.0,2011,April,Friday,10 AM,Weekday
SILVER STANDING GNOME,2,8.29,16.58,2011,May,Thursday,3 PM,Weekday
SILVER STANDING GNOME,1,8.29,8.29,2011,May,Thursday,6 PM,Weekday
SILVER STANDING GNOME,4,4.25,17.0,2011,May,Friday,10 AM,Weekday
SILVER STANDING GNOME,1,4.25,4.25,2011,June,Wednesday,11 AM,Weekday
SILVER STANDING GNOME,1,4.25,4.25,2011,July,Monday,1 PM,Weekday
SILVER STANDING GNOME,1,8.29,8.29,2011,July,Thursday,4 PM,Weekday
SILVER STANDING GNOME,1,8.29,8.29,2011,September,Wednesday,3 PM,Weekday
SILVER STANDING GNOME,1,4.25,4.25,2011,February,Monday,12 PM,Weekday
SILVER STANDING GNOME,1,4.25,4.25,2011,February,Friday,12 PM,Weekday
SILVER STANDING GNOME,4,4.25,17.0,2011,February,Wednesday,1 PM,Weekday
SILVER STANDING GNOME,1,4.25,4.25,2011,February,Sunday,3 PM,Weekend
SILVER STANDING GNOME,1,4.25,4.25,2011,January,Friday,3 PM,Weekday
SILVER STANDING GNOME,3,8.29,24.87,2011,January,Tuesday,4 PM,Weekday
SILVER STANDING GNOME,1,4.25,4.25,2011,January,Wednesday,5 PM,Weekday
SILVER STANDING GNOME,1,1.25,1.25,2011,December,Tuesday,2 PM,Weekday
SILVER STANDING GNOME,1,1.25,1.25,2011,December,Thursday,3 PM,Weekday
