Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,June,Thursday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,June,Thursday,7 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,June,Friday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,June,Friday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,June,Sunday,2 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,June,Monday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,June,Monday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,6,1.45,8.7,2011,June,Tuesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,June,Wednesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,June,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,June,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,June,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,June,Thursday,6 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Friday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,July,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,July,Tuesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Tuesday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Wednesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Wednesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Thursday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Thursday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Friday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,July,Sunday,4 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,48,1.25,60.0,2011,July,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Thursday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Thursday,6 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,July,Friday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Friday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Sunday,1 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,July,Tuesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Wednesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Wednesday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Wednesday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,July,Thursday,9 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Thursday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Thursday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,July,Friday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Monday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,July,Monday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,July,Monday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,July,Thursday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,48,1.25,60.0,2011,July,Thursday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,48,1.25,60.0,2011,July,Thursday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,July,Friday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,July,Sunday,3 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,August,Tuesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,August,Wednesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,August,Friday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Monday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Monday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,August,Monday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,August,Tuesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,August,Tuesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,August,Tuesday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,August,Wednesday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,August,Thursday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Thursday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,August,Thursday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,August,Friday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,August,Wednesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,August,Wednesday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,August,Thursday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Friday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,August,Sunday,2 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Monday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,August,Monday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,August,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Wednesday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,August,Thursday,7 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,August,Friday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,August,Sunday,12 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,August,Sunday,3 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,August,Tuesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,August,Tuesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,August,Tuesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,August,Wednesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,September,Thursday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,5,1.45,7.25,2011,September,Sunday,1 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Wednesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,September,Wednesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,September,Wednesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,96,1.25,120.0,2011,September,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,24,1.45,34.8,2011,September,Thursday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,September,Thursday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,September,Thursday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,September,Sunday,11 AM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,September,Sunday,3 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Monday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,September,Monday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,September,Wednesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Sunday,12 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,September,Tuesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,3.29,9.87,2011,September,Wednesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Thursday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,September,Thursday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Thursday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,September,Friday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Sunday,2 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,September,Wednesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,September,Wednesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,September,Friday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,September,Friday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,February,Sunday,12 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Sunday,1 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,3,3.29,9.87,2011,February,Monday,9 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,24,1.45,34.8,2011,February,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,February,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Tuesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Tuesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Tuesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Tuesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Tuesday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,24,1.45,34.8,2011,February,Wednesday,9 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,36,1.45,52.2,2011,February,Wednesday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Wednesday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,February,Thursday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Thursday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,February,Friday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Friday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Monday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,February,Monday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,February,Tuesday,10 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,February,Tuesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,3.29,6.58,2011,February,Thursday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,3.29,13.16,2011,February,Monday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,February,Monday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,24,1.45,34.8,2011,February,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Monday,3 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Tuesday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,4,1.45,5.8,2011,February,Tuesday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Tuesday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Tuesday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Wednesday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,6,1.45,8.7,2011,February,Wednesday,11 AM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Thursday,12 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,February,Friday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,2,1.45,2.9,2011,February,Sunday,1 PM,Weekend
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,February,Monday,2 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Monday,4 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,3.29,3.29,2011,February,Monday,5 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,3,1.45,4.35,2011,February,Wednesday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,6,1.45,8.7,2011,February,Thursday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,1,1.45,1.45,2011,February,Thursday,1 PM,Weekday
SKETCHBOOK MAGNETIC SHOPPING LIST,12,1.45,17.4,2011,February,Friday,11 AM,Weekday
