Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,6.95,6.95,2010,December,Friday,11 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,6.95,6.95,2011,January,Thursday,12 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,January,Monday,9 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,14.13,14.13,2011,January,Monday,9 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,14.13,14.13,2011,January,Monday,1 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,January,Thursday,11 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,6.95,6.95,2011,February,Monday,11 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,February,Tuesday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,February,Monday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,3,5.83,17.49,2011,March,Tuesday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,March,Friday,12 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,March,Monday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,March,Tuesday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,March,Thursday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,April,Tuesday,2 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,5.83,11.66,2011,April,Tuesday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,April,Wednesday,5 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,5.83,11.66,2011,April,Monday,1 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,April,Monday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,April,Tuesday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Thursday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Thursday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Monday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Monday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,May,Thursday,12 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Friday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Tuesday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,May,Tuesday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,June,Monday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,6.95,13.9,2011,June,Wednesday,8 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,2,5.83,11.66,2011,June,Thursday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.83,5.83,2011,June,Thursday,4 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.79,5.79,2011,June,Monday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.79,5.79,2011,June,Thursday,3 PM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,5.79,5.79,2011,July,Monday,10 AM,Weekday
SMALL KITCHEN FLOWER POTS PLAQUE,1,6.95,6.95,2011,August,Sunday,12 PM,Weekend
SMALL KITCHEN FLOWER POTS PLAQUE,1,6.95,6.95,2011,February,Thursday,12 PM,Weekday
