Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.51,2.51,2010,December,Wednesday,5 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,2.51,5.02,2010,December,Monday,4 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2010,December,Thursday,9 AM,Weekday
SMALL MEDINA STAMPED METAL BOWL,24,0.85,20.4,2010,December,Thursday,2 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2010,December,Monday,3 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2010,December,Monday,3 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,24,0.85,20.4,2010,December,Tuesday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,January,Thursday,6 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,January,Sunday,1 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,February,Thursday,1 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,360,0.64,230.4,2011,February,Monday,10 AM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,March,Wednesday,5 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,March,Sunday,1 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,April,Tuesday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,April,Thursday,7 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,April,Sunday,12 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,May,Wednesday,10 AM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,June,Monday,1 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,36,0.85,30.6,2011,June,Thursday,2 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.46,2.46,2011,June,Tuesday,5 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,July,Sunday,3 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,108,0.85,91.8,2011,August,Wednesday,9 AM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,August,Sunday,1 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,2,2.46,4.92,2011,August,Tuesday,10 AM,Weekday
SMALL MEDINA STAMPED METAL BOWL,3,2.46,7.38,2011,August,Tuesday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,2,2.46,4.92,2011,September,Monday,3 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.46,2.46,2011,September,Tuesday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,0.85,0.85,2011,September,Wednesday,1 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,September,Thursday,3 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,0.85,0.85,2011,September,Friday,1 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,6,0.85,5.1,2011,February,Monday,2 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.46,2.46,2011,February,Friday,3 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,February,Sunday,1 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,1,0.85,0.85,2011,February,Wednesday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,February,Wednesday,2 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,January,Thursday,9 AM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.46,2.46,2011,January,Friday,1 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,3,0.85,2.55,2011,January,Friday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,0.85,0.85,2011,January,Friday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,0.85,0.85,2011,January,Sunday,3 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,January,Monday,12 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,4,2.46,9.84,2011,January,Friday,4 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,0.85,0.85,2011,January,Sunday,11 AM,Weekend
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,January,Sunday,4 PM,Weekend
SMALL MEDINA STAMPED METAL BOWL,2,0.85,1.7,2011,January,Tuesday,3 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.46,2.46,2011,January,Tuesday,4 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,1,2.46,2.46,2011,December,Friday,4 PM,Weekday
SMALL MEDINA STAMPED METAL BOWL,12,0.85,10.2,2011,December,Friday,12 PM,Weekday
