Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,February,Sunday,3 PM,Weekend
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,February,Tuesday,2 PM,Weekday
SMALL PARLOUR PICTURE FRAME,12,2.89,34.68,2011,February,Thursday,3 PM,Weekday
SMALL PARLOUR PICTURE FRAME,4,2.89,11.56,2011,February,Sunday,2 PM,Weekend
SMALL PARLOUR PICTURE FRAME,36,2.49,89.64,2011,February,Tuesday,1 PM,Weekday
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,February,Tuesday,2 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,February,Thursday,5 PM,Weekday
SMALL PARLOUR PICTURE FRAME,5,2.89,14.45,2011,February,Friday,12 PM,Weekday
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,February,Sunday,11 AM,Weekend
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,February,Sunday,12 PM,Weekend
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,February,Sunday,1 PM,Weekend
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,February,Sunday,2 PM,Weekend
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,February,Sunday,4 PM,Weekend
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,January,Sunday,12 PM,Weekend
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,January,Sunday,2 PM,Weekend
SMALL PARLOUR PICTURE FRAME,3,2.89,8.67,2011,January,Sunday,2 PM,Weekend
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,January,Monday,12 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,January,Wednesday,12 PM,Weekday
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,January,Sunday,12 PM,Weekend
SMALL PARLOUR PICTURE FRAME,3,2.89,8.67,2011,January,Sunday,3 PM,Weekend
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,January,Monday,2 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,January,Tuesday,9 AM,Weekday
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,January,Tuesday,4 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,January,Wednesday,3 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,January,Wednesday,3 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,January,Friday,9 AM,Weekday
SMALL PARLOUR PICTURE FRAME,3,2.89,8.67,2011,January,Monday,4 PM,Weekday
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,January,Monday,5 PM,Weekday
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,January,Wednesday,5 PM,Weekday
SMALL PARLOUR PICTURE FRAME,1,2.89,2.89,2011,December,Sunday,12 PM,Weekend
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,December,Monday,9 AM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,December,Tuesday,3 PM,Weekday
SMALL PARLOUR PICTURE FRAME,6,2.89,17.34,2011,December,Thursday,10 AM,Weekday
SMALL PARLOUR PICTURE FRAME,2,2.89,5.78,2011,December,Thursday,12 PM,Weekday
