Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2010,December,Wednesday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Wednesday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,3,1.66,4.98,2010,December,Friday,11 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2010,December,Friday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,3,0.85,2.55,2010,December,Friday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2010,December,Friday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2010,December,Sunday,11 AM,Weekend
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Monday,9 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Monday,10 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2010,December,Monday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2010,December,Monday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2010,December,Monday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,3,1.66,4.98,2010,December,Monday,4 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Tuesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Tuesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,4,1.66,6.64,2010,December,Tuesday,6 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,1.66,1.66,2010,December,Wednesday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Thursday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2010,December,Thursday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Friday,9 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.84,0.84,2010,December,Friday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2010,December,Sunday,12 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,3,0.85,2.55,2010,December,Sunday,1 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,5,1.66,8.3,2010,December,Monday,11 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2010,December,Monday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2010,December,Tuesday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,5,0.85,4.25,2010,December,Tuesday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,6,0.85,5.1,2010,December,Tuesday,4 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2010,December,Wednesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Friday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2010,December,Friday,4 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2010,December,Friday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2010,December,Sunday,1 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,1,1.66,1.66,2010,December,Tuesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,1.66,1.66,2011,January,Thursday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,January,Thursday,4 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,January,Friday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,January,Sunday,2 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,2,1.66,3.32,2011,January,Monday,9 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,January,Monday,11 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,January,Thursday,2 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,January,Sunday,1 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2011,January,Wednesday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,3,0.85,2.55,2011,January,Thursday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,3,0.85,2.55,2011,January,Sunday,12 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,4,0.85,3.4,2011,January,Sunday,2 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,January,Sunday,2 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,1,1.63,1.63,2011,January,Tuesday,10 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2011,January,Wednesday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,3,0.85,2.55,2011,January,Sunday,1 PM,Weekend
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,February,Tuesday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,February,Friday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,February,Monday,11 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,February,Tuesday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,72,0.72,51.84,2011,February,Monday,10 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,7,0.85,5.95,2011,February,Monday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,6,0.85,5.1,2011,February,Tuesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,6,0.85,5.1,2011,February,Wednesday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,1.63,19.56,2011,February,Wednesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,February,Friday,8 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2011,February,Monday,10 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2011,February,Monday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,March,Wednesday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,March,Monday,1 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,2,0.85,1.7,2011,March,Tuesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,March,Monday,10 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,March,Monday,11 AM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,March,Tuesday,5 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,April,Tuesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,April,Wednesday,3 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,12,0.85,10.2,2011,April,Thursday,12 PM,Weekday
SMALL RED BABUSHKA NOTEBOOK,1,0.85,0.85,2011,April,Friday,11 AM,Weekday
