Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SMALL REGAL  SILVER CANDLEPOT,12,2.95,35.4,2010,December,Wednesday,1 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2010,December,Wednesday,12 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2010,December,Thursday,3 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2010,December,Thursday,1 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,1,5.91,5.91,2010,December,Tuesday,1 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,1,5.79,5.79,2011,January,Friday,2 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,March,Friday,1 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,April,Sunday,1 PM,Weekend
SMALL REGAL  SILVER CANDLEPOT,1,5.79,5.79,2011,May,Monday,4 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,May,Wednesday,11 AM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,June,Friday,1 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,July,Sunday,1 PM,Weekend
SMALL REGAL  SILVER CANDLEPOT,96,2.55,244.8,2011,July,Thursday,8 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,96,2.55,244.8,2011,July,Sunday,11 AM,Weekend
SMALL REGAL  SILVER CANDLEPOT,1,2.95,2.95,2011,September,Sunday,1 PM,Weekend
SMALL REGAL  SILVER CANDLEPOT,1,5.79,5.79,2011,September,Wednesday,3 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,September,Sunday,1 PM,Weekend
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,February,Thursday,1 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,12,2.95,35.4,2011,January,Thursday,3 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,January,Thursday,4 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,January,Wednesday,9 AM,Weekday
SMALL REGAL  SILVER CANDLEPOT,4,2.95,11.8,2011,January,Wednesday,3 PM,Weekday
SMALL REGAL  SILVER CANDLEPOT,4,2.95,11.8,2011,January,Sunday,11 AM,Weekend
SMALL REGAL  SILVER CANDLEPOT,6,2.95,17.7,2011,December,Monday,2 PM,Weekday
