Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SNACK TRAY I LOVE LONDON,4,1.95,7.8,2011,February,Tuesday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,3,1.95,5.85,2011,February,Sunday,12 PM,Weekend
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,January,Friday,12 PM,Weekday
SNACK TRAY I LOVE LONDON,2,1.95,3.9,2011,January,Friday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,4,1.95,7.8,2011,January,Sunday,10 AM,Weekend
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,January,Sunday,1 PM,Weekend
SNACK TRAY I LOVE LONDON,2,1.95,3.9,2011,January,Monday,10 AM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,January,Monday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,January,Monday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,January,Tuesday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,1,4.13,4.13,2011,January,Tuesday,4 PM,Weekday
SNACK TRAY I LOVE LONDON,4,4.13,16.52,2011,January,Wednesday,3 PM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,December,Thursday,12 PM,Weekday
SNACK TRAY I LOVE LONDON,1,4.13,4.13,2011,December,Thursday,4 PM,Weekday
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,December,Friday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,2,4.13,8.26,2011,December,Friday,4 PM,Weekday
SNACK TRAY I LOVE LONDON,16,1.95,31.2,2011,December,Friday,5 PM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,December,Sunday,1 PM,Weekend
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,December,Sunday,1 PM,Weekend
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,December,Monday,5 PM,Weekday
SNACK TRAY I LOVE LONDON,1,4.13,4.13,2011,December,Monday,5 PM,Weekday
SNACK TRAY I LOVE LONDON,3,4.13,12.39,2011,December,Monday,5 PM,Weekday
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,December,Tuesday,11 AM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,December,Tuesday,12 PM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,December,Tuesday,12 PM,Weekday
SNACK TRAY I LOVE LONDON,3,4.13,12.39,2011,December,Tuesday,4 PM,Weekday
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,December,Tuesday,4 PM,Weekday
SNACK TRAY I LOVE LONDON,48,1.65,79.2,2011,December,Wednesday,10 AM,Weekday
SNACK TRAY I LOVE LONDON,4,1.95,7.8,2011,December,Wednesday,1 PM,Weekday
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,December,Wednesday,3 PM,Weekday
SNACK TRAY I LOVE LONDON,1,4.13,4.13,2011,December,Thursday,9 AM,Weekday
SNACK TRAY I LOVE LONDON,1,4.13,4.13,2011,December,Thursday,9 AM,Weekday
SNACK TRAY I LOVE LONDON,1,1.95,1.95,2011,December,Thursday,11 AM,Weekday
SNACK TRAY I LOVE LONDON,8,1.95,15.6,2011,December,Thursday,3 PM,Weekday
SNACK TRAY I LOVE LONDON,2,1.95,3.9,2011,December,Thursday,3 PM,Weekday
SNACK TRAY I LOVE LONDON,2,4.13,8.26,2011,December,Thursday,4 PM,Weekday
SNACK TRAY I LOVE LONDON,1,4.13,4.13,2011,December,Friday,10 AM,Weekday
